target_object_id,original_class,blind_class,adversarial_class,final_recommended_class,result
OPENAI-26690,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-26701,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-26704,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-26707,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-26709,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-26711,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-26715,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-29653,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-29671,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-29672,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-31626,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-32851,PRIOR_MATHEMATICALLY_EQUIVALENT,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-32906,PRIOR_MATHEMATICALLY_EQUIVALENT,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-33354,PRIOR_MATHEMATICALLY_EQUIVALENT,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-34383,PRIOR_MATHEMATICALLY_EQUIVALENT,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-34404,PRIOR_MATHEMATICALLY_EQUIVALENT,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-34674,PRIOR_MATHEMATICALLY_EQUIVALENT,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-35076,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-35077,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-35086,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-35087,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-35398,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-35399,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-35406,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-35408,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-35410,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-35548,PRIOR_MATHEMATICALLY_EQUIVALENT,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-37488,PRIOR_MATHEMATICALLY_EQUIVALENT,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-38341,PRIOR_MATHEMATICALLY_EQUIVALENT,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-39202,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-39221,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-39222,PRIOR_STRUCTURAL_PRECURSOR,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-39469,PRIOR_MATHEMATICALLY_EQUIVALENT,CONCEPTUAL,CONCEPTUAL,PRIOR_CONCEPTUAL_ONLY,DOWNGRADED
OPENAI-40085,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-40363,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-40364,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-40365,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-40369,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-40371,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-40372,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-40574,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-40575,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-40581,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
OPENAI-40582,PRIOR_STRUCTURAL_PRECURSOR,UNRELATED,UNRELATED,NO_VERIFIED_PRIOR_MATCH,REJECTED
