target_object_id,repository,commit_sha,parent_sha,tree_sha,blob_sha,parent_blob,file,exact_excerpt,parent_diff,author_date,committer_date,independent_hash,retrieval_timestamp,tier
OPENAI-26715,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,smooth compactly supported data to finite-time blowup branch,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,7a8cee867bdcb5f42d4d641201d8b9f762027b705f0d68fbcecda7013eb897ef,2026-09-11T14:10:37Z,TIER_2
OPENAI-26711,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,smooth compactly supported data to finite-time blowup branch,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,7a8cee867bdcb5f42d4d641201d8b9f762027b705f0d68fbcecda7013eb897ef,2026-09-11T14:10:37Z,TIER_2
OPENAI-26709,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,smooth compactly supported data to finite-time blowup branch,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,7a8cee867bdcb5f42d4d641201d8b9f762027b705f0d68fbcecda7013eb897ef,2026-09-11T14:10:37Z,TIER_2
OPENAI-26707,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,smooth compactly supported data to finite-time blowup branch,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,7a8cee867bdcb5f42d4d641201d8b9f762027b705f0d68fbcecda7013eb897ef,2026-09-11T14:10:37Z,TIER_2
OPENAI-26704,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,smooth compactly supported data to finite-time blowup branch,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,7a8cee867bdcb5f42d4d641201d8b9f762027b705f0d68fbcecda7013eb897ef,2026-09-11T14:10:37Z,TIER_2
OPENAI-26701,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,smooth compactly supported data to finite-time blowup branch,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,7a8cee867bdcb5f42d4d641201d8b9f762027b705f0d68fbcecda7013eb897ef,2026-09-11T14:10:37Z,TIER_2
OPENAI-26690,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,smooth compactly supported data to finite-time blowup branch,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,7a8cee867bdcb5f42d4d641201d8b9f762027b705f0d68fbcecda7013eb897ef,2026-09-11T14:10:37Z,TIER_2
OPENAI-40582,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,smooth compactly supported data to finite-time blowup branch,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,7a8cee867bdcb5f42d4d641201d8b9f762027b705f0d68fbcecda7013eb897ef,2026-09-11T14:10:37Z,TIER_2
OPENAI-40576,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,smooth compactly supported data to finite-time blowup branch,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,7a8cee867bdcb5f42d4d641201d8b9f762027b705f0d68fbcecda7013eb897ef,2026-09-11T14:10:37Z,TIER_2
OPENAI-40563,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Millennium: problems/NavierStokes/local-global-bridge.md,smooth compactly supported data to finite-time blowup branch,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,7a8cee867bdcb5f42d4d641201d8b9f762027b705f0d68fbcecda7013eb897ef,2026-09-11T14:10:37Z,TIER_2
