cutoff_utc,repository,sha,commit_date_utc,artifact_or_path,commit_message,evidence_class,relation_to_current_program,verification_status,notes
2026-09-08T00:00:00Z,ShantiDraconis/millennium-navier-stokes-classical,d853205ed10e33279327b759adc3135bcd2a262c,2025-11-25T06:34:30Z,docs/04-regularity-criteria.md,"Add complete Clay-compatible Navier-Stokes documentation, LaTeX and code",CRITICAL_ENDPOINT_PRECURSOR,"ESS/critical regularity endpoint already explicit before current G1-KWC formulation",VERIFIED_BY_GITHUB_HISTORY,"Documents the endpoint target; does not contain the later KWC or entropy identity."
2026-09-08T00:00:00Z,ShantiDraconis/millennium-navier-stokes-I,63b248dd29f1817c457acdb00e116e2e9b0687cc,2025-11-25T15:47:20Z,repository merge,"Merge pull request #3 ... Add formal framework for Navier-Stokes collapse theory",COLLAPSE_FRAMEWORK_PRECURSOR,"Formal collapse/continuation architecture predates current stabilization",VERIFIED_GITHUB_SIGNED_MERGE,"Strong provenance anchor for collapse-oriented architecture; not proof of current theorem."
2026-09-08T00:00:00Z,ShantiDraconis/millennium-navier-stokes-classical,ee504cc804e205a9a2e76c6c86689aaea4c6ea84,2025-11-25T21:09:52Z,formal/agda/NavierStokes.agda,"Add Agda formalization and extended src modules for Lean, Coq, Isabelle, and Python",MULTIPROVER_ENDPOINT_PRECURSOR,"ESS endpoint and cross-prover formal architecture already present",VERIFIED_BY_GITHUB_HISTORY,"Agda source explicitly contains ESS endpoint postulate/interface."
2026-09-08T00:00:00Z,ShantiDraconis/millennium-navier-stokes-classical,53c91d97c2ace924b4436825f3a53aa67ab87ad7,2025-11-26T08:56:06Z,README.md and functional-space framework,"Add I-extended functional spaces framework with documentation, formal proofs, and Python implementation",FUNCTIONAL_SPACE_PRECURSOR,"Critical-space formalization predates current rho/KWC program",VERIFIED_BY_GITHUB_HISTORY,"Supports continuity of critical-functional program; not equivalent to current G1."
2026-09-08T00:00:00Z,ShantiDraconis/millennium-navier-stokes-classical,33adee1cd0759e386a9b7d6abbd5b1c0b6fedb05,2025-11-26T09:00:15Z,Lean + LaTeX,"Fix Lean proof for energy non-negativity and add LaTeX documentation",ENERGY_BLOCK,"Energy-side formal block later reused conceptually in a(t) integrability chain",VERIFIED_BY_GITHUB_HISTORY,"Energy positivity alone does not imply the current signed-depletion bridge."
2026-09-08T00:00:00Z,ShantiDraconis/millennium-navier-stokes-classical,867045e966812b50b2304f0460288cf6449d8221,2025-11-26T09:35:34Z,merge of I-Extended Functional Spaces Framework,"Merge pull request #8 ... Add I-Extended Functional Spaces Framework for Navier-Stokes",VERIFIED_MERGE_ANCHOR,"Publicly verifiable signed merge anchoring the critical-space program",VERIFIED_GITHUB_SIGNED_MERGE,"Use as a high-confidence provenance timestamp."
2026-09-08T00:00:00Z,ShantiDraconis/Millennium,4af517e3f1ea5d04be1c6bbd8953209fa2139e82,2025-12-18T20:25:20Z,docs/navier-stokes/lre_framework.md,"Add Navier-Stokes LRE projection-obstruction framework document",STRONG_STRUCTURAL_PRECURSOR,"C,D,pi,iota,R; critical residual; informational residual; cascade residual; regularity bridge",VERIFIED_BY_GITHUB_HISTORY,"Closest early structural ancestor of current 'subcritical data -> critical object -> obstruction -> bridge' architecture."
2026-09-08T00:00:00Z,ShantiDraconis/Millennium,003eaba057081f262ea40cea0ab698af43109151,2025-12-18T20:52:49Z,NAVIER_STOKES_LRE_SUMMARY.md,"Add comprehensive summary of Navier-Stokes LRE implementation",VERY_STRONG_STRUCTURAL_PRECURSOR,"Projection/obstruction + critical residual + regularity bridge + formal Lean module",VERIFIED_BY_GITHUB_HISTORY,"Explicitly states what the framework does and does not prove."
2026-09-08T00:00:00Z,ShantiDraconis/Millennium,5fcf3fc5140ee231bc0b3d3fbbe699c4ad84a50b,2025-12-18T21:04:32Z,NAVIER_STOKES_FORMAL_CLOSURE.md,"Update README and add top-level formal closure summary",CLOSEST_2025_ARCHITECTURE,"Noninjective projection -> no energy-only control -> critical bridge -> need new blocking principle",VERIFIED_BY_GITHUB_HISTORY,"Contains explicit future directions toward helicity/topological/geometric blocking principles."
2026-09-08T00:00:00Z,ShantiDraconis/Millennium,c953fc264b58a0631d65f996f2e37e216134bd01,2025-12-26T03:04:56Z,universal-core/operators/residual_functional.md; universal-core/README.md,"Add universal operator framework documentation",UNIVERSAL_MULTISCALE_PRECURSOR,"Scale projection + residual + normalization + multiscale energy",VERIFIED_BY_GITHUB_HISTORY,"Generalizes the earlier NS residual architecture beyond one problem."
2026-09-08T00:00:00Z,ShantiDraconis/Millennium,6ece68cdf4175760bd187ca19f4a3b8f2d33f750,2025-12-26T03:24:11Z,umi-core-axioms/operators/residual_functional.md,"Implement core multidimensional geometry and operator framework",GEOMETRIC_MULTISCALE_PRECURSOR,"Multidimensional geometry and operator framework provide structural ancestry for later geometry-weighted diagnostics",VERIFIED_BY_GITHUB_HISTORY,"Not equivalent to KWC/noncollapse theorem."
2026-09-08T00:00:00Z,ShantiDraconis/Millennium,28b7e98a80de123b7805fca2a925a684d998fe2b,2025-12-26T13:44:56Z,universal-core/operators/residual_functional.md; universal-core/README.md,"Add cross-references to alpha characterization document",RESIDUAL_SCALING_REFINEMENT,"Scale/exponent refinement of residual architecture",VERIFIED_BY_GITHUB_HISTORY,"Refinement anchor; does not establish later entropy or signed-depletion identity."
