source,target,edge_kind,confidence,status,note
NS_ROOT,NS_EARLY_FRAMEWORK,HISTORICAL_DESCENDANT,HIGH,VERIFIED_PROVENANCE,Repository root to first substantive NS framework
NS_EARLY_FRAMEWORK,NS_LATEX_I,DERIVATIONAL_PRECURSOR,HIGH,VERIFIED_PROVENANCE,Classical/vorticity diagnostics precede LaTeX I-collapse layer
NS_LATEX_I,NS_PHI,LATEX_DERIVATION_OF,HIGH,VERIFIED_PROVENANCE,Energy functional package follows I-collapse manuscript
NS_PHI,NS_ENERGY_STRONG,CONCEPTUAL_OVERLAP,MEDIUM,NOT_LOGICAL_DEPENDENCY,Do not infer proof dependency across repositories without normalized statement comparison
NS_ENERGY_STRONG,NS_ENERGY_WEAK,CLASSICAL_DERIVATION_TARGET,HIGH,STATEMENT_LEVEL,Strong identity is a standard route to weak energy estimate under suitable regularity
NS_ENERGY_WEAK,NS_DISSIPATION,IMPLIES_UNDER_STANDARD_HYPOTHESES,HIGH,REQUIRES_FORMAL_BUILD,Finite-horizon dissipation bound is derived from energy inequality with correct normalization
NS_ENERGY_WEAK,NS_ENSTROPHY,PARALLEL_ANALYTIC_BRANCH,MEDIUM,NOT_DIRECT_IMPLICATION,Energy and enstrophy estimates are distinct levels
NS_ENSTROPHY,NS_BKM,REGULARITY_DIAGNOSTIC_BRANCH,MEDIUM,REQUIRES_ANALYSIS,Connects vorticity growth diagnostics to continuation criteria
NS_SERRIN,NS_ESS,SPECIALIZES_ENDPOINT,HIGH,CLASSICAL_THEORY,ESS is the critical endpoint q=3 not obtained by naive q>3 Serrin substitution
NS_ESS,NS_REPSILON,TARGET_BRIDGE_REVERSED,MEDIUM,OPEN,Later multiscale residual program explicitly seeks a bridge back to recognized regularity
NS_DISSIPATION,NS_PROJECTION,STRUCTURAL_PRECURSOR,MEDIUM,GENEALOGICAL,Energy control motivates but does not prove high-frequency closure
NS_PROJECTION,NS_GEOM,SPECIALIZES,HIGH,GENEALOGICAL,Projection/closure framework specialized geometrically to NS
NS_GEOM,NS_QCO,USES_ABSTRACT_OBSTRUCTION,HIGH,CONDITIONAL,Concrete NS application needs coupling hypothesis required by generic theorem
NS_QCO,NS_RESIDUAL,STRUCTURAL_PRECURSOR,HIGH,OPEN_NS_SPECIALIZATION,Generic theorem does not establish NS-specific residual inequality
NS_RESIDUAL,NS_RESIDUAL_2,SAME_PROGRAM_LINEAGE,HIGH,OPEN,Residual differential and integral formulations
NS_RESIDUAL_2,NS_REPSILON,MULTISCALE_REFORMULATION,MEDIUM,OPEN,Residual program develops toward scale-dependent certificate
NS_REPSILON,NS_EPSILON65,PARAMETERIZATION_DESCENDANT,MEDIUM,OPEN_BRIDGE,Later dimensionless ratio is a proposed quantitative parameter not a proved critical norm bound
NS_EPSILON65,NS_ESS,REQUIRED_IMPLICATION,HIGH,MISSING_PROOF,Need theorem sup epsilon_NS<=c* implies sup_t ||u||_L3 finite or another recognized continuation criterion
RH_TAIL,DUAL_STATE,CONCEPTUALLY_RELATED,LOW,NO_CAUSAL_CLAIM,Tail computation and dual-state semantics are separate historical branches
DUAL_STATE,DUAL_STATE_TRUE_FALSE,SPECIALIZES,HIGH,PROVENANCE,Later bi-universe encoding develops simultaneous model semantics
DUAL_STATE_TRUE_FALSE,ERR_WEIGHTED,CONCEPTUAL_PRECURSOR,LOW,NO_LOGICAL_DEPENDENCY,Truth-state semantics and quantitative error weights must not be conflated
ERR_WEIGHTED,ERR_PAIR,REFINES_PARAMETERIZATION,HIGH,PROVENANCE,Error promoted from aggregate functional to intrinsic value/error coordinate
ERR_PAIR,ERR_SENSITIVITY,ALTERNATIVE_QUANTIFICATION,HIGH,MODEL_DEPENDENT,Sensitivity allocation is distinct from weighted decomposition
ERR_SENSITIVITY,PHASE_ERROR,STRUCTURAL_PRECURSOR,HIGH,PROVENANCE,Quantified error framework precedes real/imaginary phase-error architecture
RH_TAIL,PHASE_ERROR,CROSS_BRANCH_CANDIDATE,LOW,UNPROVED_BRIDGE,A tail statistic is not automatically a truth probability or phase-error component
DUAL_STATE,PHASE_ERROR,CROSS_BRANCH_CANDIDATE,LOW,UNPROVED_BRIDGE,Need explicit semantics mapping model-theoretic independence to real/imaginary error coordinates
