node_id,repository,commit_sha,committer_date,path,language,kind,name,status,evidence_class,note
NS_ROOT,millennium-navier-stokes-I,d4a3a745269c10a15c12d2b854cac7c3553d243d,2025-11-23T02:15:01Z,README.md,markdown,project,Navier-Stokes project root,PROVENANCE_ONLY,L5_GIT_OBJECT,Root chronology anchor
NS_EARLY_FRAMEWORK,millennium-navier-stokes-I,64bc633ecdb3a90ccfbf1c0863963c4bdd238d0f,2025-11-23T02:27:31Z,framework/numerical layer,mixed,framework,Enstrophy_Palinstrophy_BKM,ANALYTICAL_NUMERICAL_FRAMEWORK,L5_GIT_OBJECT,Contains Omega(t)=1/2 int|omega|^2 and BKM-type integral diagnostics
NS_LATEX_I,millennium-navier-stokes-I,777d58e6f1eda3872a809492183ce432ead4f030,2025-11-25T04:14:58Z,latex/navier-stokes-I.tex,latex,paper,Navier_Stokes_I_derivation,PAPER_DERIVATION,L5_GIT_OBJECT,Earliest recovered creation of this LaTeX path
NS_PHI,millennium-navier-stokes-I,c8489c74b179c5829ce14a48ef95158610e338b2,2025-11-25T04:17:57Z,docs/latex/energy_theory.tex,latex,definition,Phi_NS_and_dissipation,CONDITIONAL_ON_COLLAPSE_AXIOM,L5_GIT_OBJECT,Defines E(t), enstrophy/dissipation integrals and collapse-dependent regularity argument
NS_ENERGY_STRONG,millennium-navier-stokes-classical,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,formal/lean/EnergyInequality.lean,lean,theorem,energy_equality_strong,SORRY_OR_TRUE_PLACEHOLDER,L5_GIT_OBJECT,Classical target present but not internally proved at this commit
NS_ENERGY_WEAK,millennium-navier-stokes-classical,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,formal/lean/EnergyInequality.lean,lean,theorem,energy_inequality_weak,SORRY_OR_TRUE_PLACEHOLDER,L5_GIT_OBJECT,Weak energy inequality target
NS_DISSIPATION,millennium-navier-stokes-classical,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,formal/lean/EnergyInequality.lean,lean,theorem,dissipation_integral_bound,SORRY_OR_TRUE_PLACEHOLDER,L5_GIT_OBJECT,Finite-horizon dissipation integral target
NS_ENSTROPHY,millennium-navier-stokes-classical,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,formal/lean/EnergyInequality.lean,lean,theorem,enstrophy_evolution,SORRY_OR_TRUE_PLACEHOLDER,L5_GIT_OBJECT,Enstrophy evolution target
NS_SERRIN,millennium-navier-stokes-classical,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,formal/lean/RegularityCriteria.lean,lean,theorem,prodi_serrin_criterion,SORRY_OR_TRUE_PLACEHOLDER,L5_GIT_OBJECT,Critical mixed-norm regularity target
NS_BKM,millennium-navier-stokes-classical,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,formal/lean/RegularityCriteria.lean,lean,theorem,bkm_criterion,SORRY_OR_TRUE_PLACEHOLDER,L5_GIT_OBJECT,Vorticity integral extension target
NS_ESS,millennium-navier-stokes-classical,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,formal/lean/RegularityCriteria.lean,lean,theorem,escauriaza_seregin_sverak,SORRY_OR_TRUE_PLACEHOLDER,L5_GIT_OBJECT,L-infinity_t L3_x endpoint target already present
NS_AX_REWRITE,millennium-navier-stokes-classical,1ae8b318d9c8ab9ebfb59b8719f91c29ca86ac70,2025-11-25T21:47:44Z,formal/lean,lean,axiom,regularity_and_energy_axiom_rewrite,DECLARED_ASSUMPTION,L5_GIT_OBJECT,Some sorries replaced by explicit axioms; not internal proofs
NS_PROJECTION,Millennium,4af517e3f1ea5d04be1c6bbd8953209fa2139e82,2025-12-18T00:00:00Z,projection/closure layer,mixed,framework,projection_closure_obstruction,FORMAL_OR_PAPER_DERIVATION_REQUIRES_AUDIT,L5_GIT_OBJECT,u=u_N+u_perp and closure-defect lineage anchor
NS_GEOM,universal-emergent-logic-,730aa849b0d76b0202f08b490664aa11c164b2bf,2025-12-19T17:17:28Z,formalization/lean/LRE/NavierStokes,lean,framework,NS_geometric_projection_map,ANALYTICAL_APPLICATION_INCOMPLETE,L5_GIT_OBJECT,Maps C=H D=H_N pi=P_N R(u)=||u-P_Nu||^2 and proposed coupling
NS_QCO,universal-emergent-logic-,a762e7b76464656236075548343f596ab8bc6815,2025-12-19T17:38:05Z,formalization/lean/LRE/QuantitativeObstruction.lean,lean,theorem,quantitative_closure_obstruction,INTERNAL_FORMAL_PROOF_GENERIC,L5_GIT_OBJECT,Generic obstruction theorem has explicit Lean proof from coupling hypothesis
NS_RESIDUAL,universal-emergent-logic-,abdaa41189864f85d3b9f8c8fec6b3ec4431eab5,2025-12-19T17:55:31Z,formalization/lean/LRE/NavierStokes/ResidualStability.lean,lean,theorem,residualStabilityInequality,SORRY_OR_OPEN_BRIDGE,L5_GIT_OBJECT,NS residual stability inequality proposed but not discharged
NS_RESIDUAL_2,universal-emergent-logic-,469910d3a18d6a2891525da5f1a1a3dd6ec00799,2025-12-19T19:53:16Z,formalization/lean/LRE/NavierStokes/ResidualStability.lean,lean,theorem,residual_integral_imbalance,SORRY_OR_OPEN_BRIDGE,L5_GIT_OBJECT,Integral residual/curvature blow-up route remains hypothesis-level
NS_REPSILON,universal-emergent-logic-,6f52d839ebfa116c1725a1c57abfcd812c3b4577,2025-12-26T14:02:55Z,definitions/certificate_of_invariance.md,markdown,definition,R_epsilon_t,OPEN_BRIDGE_EXPLICIT,L5_GIT_OBJECT,Defines R(epsilon;t)=||u-pi_epsilon u||_L2 and lists regularity implication as missing
NS_EPSILON65,universal-emergent-logic-,91ba0b43b0bec9bf6d13621cda886bceb7b3e152,2026-01-01T22:51:57Z,NS parameter layer,mixed,definition,epsilon_NS_65_percent,COMPUTATIONAL_HYPOTHESIS,L5_GIT_OBJECT,Defines epsilon_NS=||(u.grad)u||_L2/(nu||Delta u||_L2) with proposed threshold 0.65+-0.05
RH_TAIL,millennium-riemann-classical,5db1a345af289e56c4a85dd1534d796689d5edc9,2025-11-25T18:42:47Z,src/python/zeta/tail_behavior.py,python,analysis,RH_tail_behavior,NUMERICAL_EVIDENCE,L5_GIT_OBJECT,Commit also adds TailBehavior in Lean Coq Isabelle Agda and zeros 1-5000/GUE analysis
