domain,repository,declaration_or_cluster,first_gap_sha,first_gap_date_utc,gap_kind,gap_status,resolution_sha,resolution_status,dependents,evidence_basis,notes
FormalInfra,ShantiDraconis/proofs-multiprover,Basic.lean complex proof cluster,df249e761c6b3d326bbd1846805ea1185223b369,2025-11-24,admit/GAP_EXPLICIT,FORMALIZATION_DEBT,,UNRESOLVED,"later multiprover proof skeletons","audit/20_formal_corpus_commit_sweep.md","origin 010458449724a48086f38214150e8fc115ce63c5 predates explicit admits"
Riemann,ShantiDraconis/millennium-riemann-I,incomplete proof architecture,12a65e11b53d336b389b47e8fb85c0e75caaf762,2025-11-25,OPEN_GAP,OPEN_BRIDGE,,UNRESOLVED,"Two-Phase framework; later final-proof branches","audit/20_formal_corpus_commit_sweep.md","later commit 477a8d2b71e951619c830129909c03ce7a9ff615 explicitly names Rigidity Conjecture final gap"
Riemann,ShantiDraconis/millennium-riemann-classical,Rigidity Conjecture Theorem 4.1,477a8d2b71e951619c830129909c03ce7a9ff615,2025-12-01,OPEN_GAP,OPEN_BRIDGE,,UNRESOLVED,"RH tail/coercivity/final-proof pathway","audit/20_formal_corpus_commit_sweep.md","must be discharged analytically, not by title/branch naming"
Meta-I,ShantiDraconis/0-0-FORMAL-SUITE,I as abstract element with axioms,78083d5ae2924a46a67562c2551de39a06718143,2025-11-25,axiom,EXPLICIT_EXTENSION_AXIOM,,NOT_CLASSICAL_PROOF,"Universe-0-0; Singulariity; cross-problem I frameworks","audit/20_formal_corpus_commit_sweep.md","standard-foundation audit must not identify this with ordinary real/complex division 0/0"
Meta-I,ShantiDraconis/Universe-0-0,Sorry Singularity / I meta-gap lineage,3a212951fbc740c59aecacdeae4c3aca1ac155d6,2026-01,axiom/meta-formalism,META_FORMAL_ONLY,,NOT_ENDPOINT_PROOF,"later 720c7940; 184613fa; Singulariity","audit/20_formal_corpus_commit_sweep.md","merge 184613fa explicitly labels sorry = 0/0 = I; this is provenance, not a proof rule in classical foundations"
NavierStokes,ShantiDraconis/millennium-navier-stokes-classical,energy_equality_strong,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,True+sorry,PLACEHOLDER,1ae8b318d9c8ab9ebfb59b8719f91c29ca86ac70,REPLACED_BY_AXIOM,"energy architecture; regularity criteria","audit/17_deep_proof_origin_integral_sweep.md","replacement of sorry by axiom is not internal proof"
NavierStokes,ShantiDraconis/millennium-navier-stokes-classical,energy_inequality_weak,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,True+sorry,PLACEHOLDER,1ae8b318d9c8ab9ebfb59b8719f91c29ca86ac70,REPLACED_BY_AXIOM,"energy estimates; dissipation bounds","audit/17_deep_proof_origin_integral_sweep.md","classical theorem should ultimately be imported/proved with exact hypotheses"
NavierStokes,ShantiDraconis/millennium-navier-stokes-classical,total_dissipation_bound,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,True+sorry,PLACEHOLDER,1ae8b318d9c8ab9ebfb59b8719f91c29ca86ac70,REPLACED_BY_AXIOM,"energy package","audit/17_deep_proof_origin_integral_sweep.md","axiom promotion does not close proof debt"
NavierStokes,ShantiDraconis/millennium-navier-stokes-classical,enstrophy_evolution,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,True+sorry,PLACEHOLDER,1ae8b318d9c8ab9ebfb59b8719f91c29ca86ac70,REPLACED_BY_AXIOM,"enstrophy growth; nonlinear estimates","audit/17_deep_proof_origin_integral_sweep.md","requires exact function-space regularity assumptions"
NavierStokes,ShantiDraconis/millennium-navier-stokes-classical,enstrophy_growth_bound,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,True+sorry,PLACEHOLDER,1ae8b318d9c8ab9ebfb59b8719f91c29ca86ac70,REPLACED_BY_AXIOM,"ODE comparison; blow-up diagnostics","audit/17_deep_proof_origin_integral_sweep.md","cubic upper bound does not imply global regularity"
