concept,fagliari_source,fagliari_commit,fagliari_date,external_source,external_commit,external_date,exact_text_match,symbolic_match,structural_match,generic_classical_overlap,rarity_score,evidentiary_weight,caveat
smooth compactly supported data to finite-time blowup branch,Millennium: problems/NavierStokes/local-global-bridge.md,c70b6f72197085ae6ecc3130b75e685028a61d10,2025-12-04T18:43:53Z,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,MEDIUM,MEDIUM,HIGH,Timestamp reported from connected GitHub object; independent line-level export still pending
self-similar or asymptotically self-similar blowup strategy,Millennium: problems/NavierStokes/local-global-bridge.md,c70b6f72197085ae6ecc3130b75e685028a61d10,2025-12-04T18:43:53Z,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,MEDIUM,MEDIUM,HIGH,Structural overlap established at strategy level; not the same technical construction
scaling + concentration-compactness + profile decomposition + Liouville pipeline,Millennium: docs/universal-tree/05-methods.md,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,HIGH,MEDIUM,HIGH,File/line extraction required for full evidentiary packet
profile decomposition in critical framework,navier-stokes-noncircular: sections/sec07-profile-decomposition.tex,8f12748eb160b937174825fe3e7bdccf05e8f9af,2026-08-30T11:10:45Z,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,MEDIUM,MEDIUM,HIGH,Represents concrete technical maturation before 2026-09-08
critical element extraction route,navier-stokes-noncircular: sections/sec08-critical-element.tex,8f12748eb160b937174825fe3e7bdccf05e8f9af,2026-08-30T11:10:45Z,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,MEDIUM,MEDIUM,HIGH,Confirms critical-element branch in prior work
residual-generated projected dynamical correction,universal-emergent-logic-: PR #37 / CouplingOperator,14322ff2e8f38df302c6f2f6b41754db79d5a900,2025-12-19T22:36:36Z,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,LOW,HIGH,Reported private-repository anchor; archival file export still pending
field evolution corrected by K(R),universal-emergent-logic-: DynamicGrid equation,3641787e452b737d734f9bba54d234b60a57c5e0,2025-12-26T03:23:42Z,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,LOW,HIGH,Reported private-repository anchor; exact discrete update law still not found
Reynolds stress as residual coupling,universal-emergent-logic-: Examples/NavierStokesLRE.lean cluster,730aa849b0d76b0202f08b490664aa11c164b2bf,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,LOW,HIGH,Strong analogue identified; iterative stress-corrector hierarchy still not located
reference-jet / primitive-jet style machinery,UNKNOWN,UNKNOWN,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,NO,NOT_FOUND,LOW,UNKNOWN,MEDIUM,No pre-2026-09-08 exact ReferenceJet/CarrierJet match located yet in audited prior repositories
smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,UNKNOWN,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,NO,NOT_FOUND,LOW,UNKNOWN,MEDIUM,Distinctive-construction-level match currently not established
engineered forcing chosen as -residual,UNKNOWN,UNKNOWN,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,NO,NOT_FOUND,LOW,UNKNOWN,MEDIUM,Adjacent correction terms were found, but not an explicit forcing := - defect construction
