ClaimID,ExactClaim,ClaimType,Equation,FirstKnownAuthorFile,AuthorFileSHA256,GitCommit,GitCommitDate,GitCommitRepo,ExternalTimestamp,ZenodoDOI,PriorLiterature,PriorLiteratureDate,RelationToPriorArt,IndependentReproduction,OriginalExtension,File,Lines,ProofStatus,Dependencies,Notes
LEDGER-01,Projection decomposition u = P_Λ u + (I-P_Λ)u with residual R_Λ(u),definition,u = P_Λ u + (I-P_Λ)u,UNKNOWN,UNKNOWN,4af517e3f1ea5d04be1c6bbd8953209fa2139e82,2025-12-18,Millennium,UNKNOWN,NONE,Classical Fourier projection,pre-1900,classical_background,YES — Fourier truncation is standard,Extended to LRE obstruction context,UNKNOWN,UNKNOWN,FOUND_CLASSICAL,projection_def,Projection itself is classical; relevant claim is the obstruction formula.
LEDGER-02,Closure obstruction P_N[(u·∇)u] ≠ (P_Nu)·∇(P_Nu),lemma,P_N[(u·∇)u] ≠ (P_Nu)·∇(P_Nu),docs/lre-navier-stokes-geometric.md,UNKNOWN,730aa849b0d76b0202f08b490664aa11c164b2bf,UNKNOWN,UEL,UNKNOWN,NONE,Standard PDE / LES commutator identity,pre-2025,classical_background,YES — commutator of projection and nonlinearity is classical in LES literature,Extended to closure-obstruction framing in LRE context,730aa849 (T2 GitHub-verified),UNKNOWN,FOUND_PRIOR_ART,LEDGER-01,Commutator nonlinearity inequality is classical; LRE packaging is the claimed original framing.
LEDGER-03,Closure operator C = ι ∘ π and residual Res(u) = u - C(u),definition,"C = ι∘π, Res(u) = u - C(u)",UNKNOWN,UNKNOWN,4af517e3f1ea5d04be1c6bbd8953209fa2139e82,2025-12-18,Millennium,UNKNOWN,NONE,NONE,N/A,potentially_original,N/A,YES — specific composition notation and LRE residual framing,4af517e3 (T3),UNKNOWN,FOUND_T3_PENDING_ARCHIVAL,"LEDGER-01,LEDGER-02",Composition C = ι∘π is the author-distinctive construction; no prior-art equivalent yet identified.
LEDGER-04,"Projected evolution law d/dt π(u) = F(π(u)) + K(R(u),π(u))",lemma,"d/dt π(u) = F(π(u)) + K(R(u), π(u))",UNKNOWN,UNKNOWN,14322ff2e8f38df302c6f2f6b41754db79d5a900,UNKNOWN,UEL,UNKNOWN,NONE,Ehresmann connection / curvature formalism in differential geometry,pre-2025,prior_art_structural_analog,General structure is curvature-type coupling; specific K(R(u)_ form in NS context may be original,YES (form of coupling),14322ff2 (T3),UNKNOWN,FOUND_T3_PENDING_ARCHIVAL,"LEDGER-01,LEDGER-03",Coupling term K is the key author-distinctive object. Prior art covers abstract curvature; NS application needs separate originality audit.
LEDGER-05,Residual Stability Inequality ||Res_{q+1}|| ≤ δ||Res_q||,lemma,"||R_{q+1}|| ≤ δ||R_q||",UNKNOWN,UNKNOWN,4cb3cd8ae5d24d5b79825346fb59ed47ff95bc9f,UNKNOWN,UEL,UNKNOWN,NONE,Contraction mapping / iterative stability in functional analysis,pre-2025,classical_background,YES — stability inequalities are classical,YES — in LRE residual framework,4cb3cd8a (T3),UNKNOWN,FOUND_T3_PENDING_ARCHIVAL,"LEDGER-03,LEDGER-04",Classical stability structure; LRE-specific form needs export for verification.
LEDGER-06,"Correction step u_{q+1} = u_q + C_q",definition,"u_{q+1} = u_q + C_q",UNKNOWN,UNKNOWN,507135a16a64116e7baf15154e03dc40740b08bb,UNKNOWN,UEL,UNKNOWN,NONE,Convex integration / iterative correction schemes (Tartar; De Lellis-Székelyhidi),pre-2010,structural_analog,General iterative correction is classical in convex integration,REQUIRES_VERIFICATION,507135a1 (T3),UNKNOWN,FOUND_T3_PENDING_ARCHIVAL,"LEDGER-03,LEDGER-05",Critical distinction from convex integration: whether iterative scheme yields regularity OR blowup rather than wild solutions.
LEDGER-07,"Residual update R_{q+1} = R_q + L_{u_q}(C_q) + Q(C_q)",lemma,"R_{q+1} = R_q + L_{u_q}(C_q) + Q(C_q)",UNKNOWN,UNKNOWN,NONE_IDENTIFIED,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,N/A,POTENTIALLY_ORIGINAL,N/A,REQUIRES_EXPORT,NONE_IDENTIFIED,UNKNOWN,MISSING,"LEDGER-06",No T1/T2/T3 anchor explicitly containing full residual update formula with L and Q terms identified yet. HIGH PRIORITY gap.
LEDGER-08,"Linearised correction estimate L_{u_q}(C_q) ≈ -R_q",lemma,"L_{u_q}(C_q) ≈ -R_q (approximate cancellation)",UNKNOWN,UNKNOWN,NONE_IDENTIFIED,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NONE,N/A,POTENTIALLY_ORIGINAL,N/A,REQUIRES_EXPORT,NONE_IDENTIFIED,UNKNOWN,MISSING,"LEDGER-06,LEDGER-07",No anchor containing rigorous approximate-cancellation estimate for the linearised correction identified. CRITICAL GAP — without this the iteration cannot close.
LEDGER-09,Clay alternative: construction implies global regularity OR finite-time blowup,theorem,Alternative as in Clay NS problem statement,UNKNOWN,UNKNOWN,f900684c3785ffbd9707291225b2c1751ae3e3eb,UNKNOWN,Universe-0-0,UNKNOWN,NONE,Clay Mathematics Institute NS problem statement (Fefferman 2006),2006,clay_problem_framing,Clay framing is prior art; proof that construction achieves the alternative is the claimed contribution,NOT_YET_ESTABLISHED,f900684c (T3),UNKNOWN,NOT_ESTABLISHED,"LEDGER-01,LEDGER-02,LEDGER-03,LEDGER-04,LEDGER-05,LEDGER-06,LEDGER-07,LEDGER-08",Master claim. Cannot be established until LEDGER-07 and LEDGER-08 are resolved and the iterative scheme is shown to converge/diverge in exactly the Clay-required sense.
LEDGER-10,Machine-auditable proof manuscript (navier-stokes-noncircular),evidence_anchor,N/A,UNKNOWN,UNKNOWN,8f12748eb160b937174825fe3e7bdccf05e8f9af,2026-08-30,navier-stokes-noncircular,2026-08-30,NONE,N/A,N/A,N/A,N/A,YES (T1 verified),UNKNOWN,FOUND_T1,"all prior LEDGER-* entries",Pre-publication machine-auditable manuscript consolidation. Strong provenance anchor.
