repository,path_or_scope,sha,date_utc,concept,evidence_class,current_correspondence,verification,limitations
ShantiDraconis/millennium-navier-stokes-I,repository bootstrap + docs/MATHEMATICAL_THEORY.md + collapse detector,64bc633ecdb3a90ccfbf1c0863963c4bdd238d0f,2025-11-23T02:27:31Z,"NS collapse; enstrophy; palinstrophy; BKM; self-similar blowup; localization; geometric constraints",EARLIEST_NS_ARCHITECTURE_ANCHOR,"ActualNS diagnostics / singularity localization / high-vorticity geometry",GITHUB_COMMIT_VERIFIED,"Research framework and numerical diagnostics; not a global-regularity proof."
ShantiDraconis/millennium-navier-stokes-I,src/analysis/collapse_detector.py,2c5b4ae185deec027f5eec2bd21dc0fee4dfbd2c,2025-11-23T02:28:34Z,"collapse detector maintenance",EARLY_COLLAPSE_IMPLEMENTATION,"collapse diagnostics",GITHUB_COMMIT_VERIFIED,"Implementation maintenance only."
ShantiDraconis/millennium-navier-stokes-I,PR1 merge,a42ffbaf35d3e56882b68fd61adeb3793f995e7a,2025-11-24T15:48:16Z,"SBFE/I collapse detection framework",MERGED_COLLAPSE_FRAMEWORK,"collapse / blowup monitoring",GITHUB_HISTORY,"Merge timestamp normalized from +01:00."
ShantiDraconis/millennium-navier-stokes-I,PR2 merge,b7a03dc4f6630945dd7fe03da3270260892e9649,2025-11-24T19:19:08Z,"symbolic experimental NS framework",SYMBOLIC_FRAMEWORK_PRECURSOR,"formal architecture / experiment separation",GITHUB_HISTORY,"Not evidence of theorem validity."
ShantiDraconis/millennium-navier-stokes-I,LaTeX + Python I-collapse,777d58e6f1eda3872a809492183ce432ead4f030,2025-11-25T04:14:58Z,"I-collapse framework",COLLAPSE_MODEL_PRECURSOR,"singularity/collapse layer",GITHUB_HISTORY,"Symbolic/model framework."
ShantiDraconis/millennium-navier-stokes-I,src/analysis/geometric_flow.py,1a16d4f8eae998790b3e8bed8a4cc5a964f7ee0b,2025-11-25T04:17:36Z,"vorticity filaments; local direction; curvature concentration; conical-defect analysis",GEOMETRIC_VORTICITY_PRECURSOR,"high-vorticity components / local directional geometry / singularity classification",GITHUB_COMMIT_DIFF_VERIFIED,"Numerical/geometric diagnostic, not KWC theorem."
ShantiDraconis/millennium-navier-stokes-I,IMPLEMENTATION_STATUS.md,9811b81e7cb2f4dc495c8be1c65ee0a6e4c8df6f,2025-11-25T04:19:05Z,"collapse dynamics and gap summary",GAP_TRACKING_PRECURSOR,"open-bridge accounting",GITHUB_HISTORY,"Requires statement-level audit for exact gaps."
ShantiDraconis/millennium-navier-stokes-I,0/0 Constant I framework,1cd176fa02d0827cff24f61cfc27dbda21109c25,2025-11-25T04:19:53Z,"collapse theory / symbolic constant",SYMBOLIC_COLLAPSE_PRECURSOR,"historical conceptual layer",GITHUB_HISTORY,"Nonstandard symbolic framework; not classical proof."
ShantiDraconis/millennium-navier-stokes-I,collapse-algebra.md,e6c62db1ec53b370c3ead1499012f481c786cbd8,2025-11-25T05:40:39Z,"collapse algebra",COLLAPSE_ALGEBRA_GENEALOGY,"collapse formalization",GITHUB_HISTORY,"Timestamp converted from +01:00."
ShantiDraconis/millennium-navier-stokes-I,collapse-algebra.md,cb7306231a114a052494880c43b217fdfad90258,2025-11-25T05:42:56Z,"collapse algebra revision",COLLAPSE_ALGEBRA_GENEALOGY,"collapse formalization",GITHUB_HISTORY,"Revision."
