id,problem,layer,statement,status,depends_on,residue_object,next_action,historical_anchor
NS.G0,Navier-Stokes,foundation,"Exact 3D incompressible NS state/domain/viscosity/forcing/solution class",PARTIAL,,"solution state","complete Mathlib-compatible PDE typing","64bc633ecdb3a90ccfbf1c0863963c4bdd238d0f;12f8b424646fba8e278a99f7cf350f3d2c7eb09e"
NS.G1.1,Navier-Stokes,critical-space,"L3NormAtTime is the eLpNorm at p=3",SPECIFIED,NS.G0,"eLpNorm (u t) 3 volume","formalize exact measure/vector conventions","5eee6ce82dda31852cd52db61104c42433ec7ae4"
NS.G1.3,Navier-Stokes,critical-space,"bochnerLInfL3Norm is essential supremum in time",SPECIFIED,NS.G1.1,"bochnerLInfL3Norm u T","formalize ENNReal finiteness criterion","5eee6ce82dda31852cd52db61104c42433ec7ae4"
NS.G2.2,Navier-Stokes,scaling,"General Lp scaling exponent 1-3/p for u_lambda(x)=lambda u(lambda x)",OPEN,NS.G0,"scaling exponent","prove change-of-variables theorem in exact Lp space","079633d5f7af26576cc9baf0b911e5e0dbdb21f7"
NS.G2.3,Navier-Stokes,scaling,"p=3 is scale critical",PROVED,NS.G2.2,"0 exponent","retain as elementary arithmetic lemma","079633d5f7af26576cc9baf0b911e5e0dbdb21f7"
NS.G3.1,Navier-Stokes,repository-condition,"DenominatorDomain excludes zero Laplacian denominator",SPECIFIED,NS.G0,"denominator domain","prove evolution compatibility or define zero branch","91ba0b43 historical epsilon_NS lineage"
NS.G3.3,Navier-Stokes,repository-condition,"epsilon_NS = ||(u.grad)u||_2 /(nu ||Delta u||_2)",SPECIFIED,NS.G3.1,"epsilon_NS","formalize fderiv/grad/div/Laplacian norms","91ba0b43 historical epsilon_NS lineage"
NS.G3.5,Navier-Stokes,repository-condition,"HRepo = denominator-domain + essSup epsilon_NS <= cstar",SPECIFIED,NS.G3.3,"HRepo","prove measurability and meaningful threshold domain","91ba0b43 historical epsilon_NS lineage"
NS.G4.1,Navier-Stokes,coercivity,"Nonlinear-term estimate with exact function-space hypotheses",OPEN,NS.G0,"nonlinear interaction defect","derive Holder/Sobolev/Gagliardo-Nirenberg bound without assuming endpoint regularity","1ed0ded98d26966189fc5936914fd964d42cbd7a;abdaa41189864f85d3b9f8c8fec6b3ec4431eab5"
NS.G4.2,Navier-Stokes,coercivity,"Pressure estimate compatible with critical scaling",OPEN,NS.G4.1,"pressure defect","formalize Riesz/Calderon-Zygmund mapping","e68f81b2ad71eb7cef67ec09971891f2899cd5ce"
NS.G4.3,Navier-Stokes,coercivity,"Critical high-frequency/concentration tail is uniformly controlled",OPEN,NS.G4.1;NS.G4.2,"H_J + concentration","prove profile-decomposition/rigidity or equivalent critical-tail theorem","730aa849b0d76b0202f08b490664aa11c164b2bf;1496562f audit derivation"
NS.G4.4,Navier-Stokes,coercivity,"Repository condition controls corrected critical defect",OPEN,NS.G3.5;NS.G4.3,"D_crit","connect epsilon_NS/HRepo to critical-tail vector without circularity","469910d3a18d6a2891525da5f1a1a3dd6ec00799"
NS.G4.5,Navier-Stokes,coercivity,"repository_to_critical_norm: HRepo -> bounded LInf_t L3_x",OPEN,NS.G4.4;NS.G1.3,"bochnerLInfL3Norm u T","prove decisive NS-B2 bridge","203ce4ff62809fbcf403ee03e89c3bc70ed608ec"
NS.G5,Navier-Stokes,bridge,"HRepo -> bochnerLInfL3Norm < infinity",OPEN,NS.G4.5;NS.G1.3,"bochnerLInfL3Norm u T","instantiate exact suitable/strong solution hypotheses","6054851e80b463b3c994fef2acc110983769c309"
NS.G6,Navier-Stokes,endpoint,"bounded LInf_t L3_x -> continuation/smoothness under exact ESS hypotheses",EXTERNAL_THEOREM,NS.G5,"ESS endpoint","map domain/solution assumptions to classical theorem",ESS-2003
RH.G0,Riemann,foundation,"rigorous zeta and nontrivial-zero definitions",PARTIAL,,"riemannZeta","use trusted analytic continuation implementation/library","b1d2ab7fbdecd7b3acb161d306e23c29f6cc04d8;dfcab9ce3e216fc7031db42ee5b44341625318e5"
RH.G1,Riemann,residue,"Residue_RH = set of nontrivial zeros off Re=1/2",SPECIFIED,RH.G0,"Set Complex","prove RH iff empty residue by extensional logic once definitions are exact","f169a3c5955b18eb62e0be98ae52c4bcd59efaa4"
RH.G5,Riemann,equivalence,"RiemannHypothesis iff Residue_RH is empty",CONDITIONAL,RH.G0;RH.G1,"Residue_RH","kernel-check after exact zeta definitions","349a7fe7a97557ecfe8109eb19fd4e8df00f1372"
RH.G8,Riemann,zero-certification,"rhoModel lies in a rigorously isolated zero disc",OPEN,RH.G0,"ZetaBall rho r","implement validated complex interval evaluation","2f17a6781c9b5bbe1c3c4609b7dbb9aed78afdcf"
RH.G9,Riemann,zero-certification,"argument-principle zero count in disc is certified",OPEN,RH.G8,"integer zero count","formalize contour/no-boundary-zero hypotheses","cd8239300dcd00b384be1e3293ff9638209adf5b"
RH.G10,Riemann,zero-certification,"model point is an actual nontrivial zeta zero with rigorous enclosure",OPEN,RH.G8;RH.G9,"certified zero","replace decimal residual strings by interval certificate","2adea134b7647c1075e676003c97c32209913236"
PNP.G0,P_vs_NP,foundation,"formal languages, deterministic polynomial time, NP and Karp reduction",OPEN,,"complexity structures","use rigorous machine/reduction definitions","0f7c10c476162ecff8c89d8cec70047732ac9c58"
PNP.G10,P_vs_NP,classical-bridge,"SAT in P iff P = NP from Cook-Levin + P subset NP",EXTERNAL_THEOREM,PNP.G0,"SAT membership","formalize/import NP-completeness theorem","3d4d3e51866e03420e97ff3b21dde2a1fca1cc4"
PNP.G11,P_vs_NP,residue,"Residue_PvsNP := SAT notin P",SPECIFIED,PNP.G10,"Prop obstruction","prove equivalence to P != NP from NP-completeness","469910d3a18d6a2891525da5f1a1a3dd6ec00799"
YM.G0,Yang-Mills,foundation,"connection, curvature, gauge group, Euclidean/quantum construction target",OPEN,,"gauge-field state","replace symbolic placeholders by constructive QFT definitions","8c23634bbb5206d31d127316ceedd9c35627ea9d;ada0092ee7b3d94232cfbc9f4b9883746d29a484"
YM.G1,Yang-Mills,critical-geometry,"gauge fixing + scale-critical curvature decomposition",OPEN,YM.G0,"curvature/concentration defect","formalize Sobolev/gauge/bubbling interface","2ceba2ac14e9541561d76307af538ed91817c2af"
YM.G2,Yang-Mills,coercivity,"coercivity modulo gauge/symmetry controls critical concentration",OPEN,YM.G1,"coercive gap","derive genuine analytic estimate","2469b722f971df80c8a524c696f4c77ceb34817b"
YM.G3,Yang-Mills,endpoint,"constructive QFT + positive spectral mass gap",OPEN,YM.G2,"mass gap","satisfy reconstruction/continuum/spectral hypotheses","6c83e18747fef1faed65a816fa5f4c322d363af9"
CROSS.G1,CrossProblem,bridge,"common safe schema: state -> projection -> residue -> native critical quantity -> endpoint",PROVED_LOGIC,,"typed DAG","keep problem-specific bridge edges explicit","2ceba2ac14e9541561d76307af538ed91817c2af;2469b722f971df80c8a524c696f4c77ceb34817b"
CROSS.G2,CrossProblem,bridge,"NS and YM share critical-PDE mechanisms but are not mathematically identical",SUPPORTED,CROSS.G1,"critical-defect package","develop separate instantiations and compare functorially","b3630bff audit/48"
META.G1,Meta,integrity,"mathematical residue is not proof placeholder",PROVED_POLICY,,"Residue : typed mathematical object","CI rejects sorry/admit in audit-safe files","9cc8643bfd0d924811c8a33afbcf28c12eba5342;ba83e5b9b16a6a481fbfd89aa061a4542c54c519"
META.G2,Meta,integrity,"sorry/admit/axiom mark incomplete or conditional proof status",PROVED_POLICY,META.G1,"proof-status certificate","scan transitive dependency closure","755ecaad gap-audit lineage"
