evidence_id,date_utc,repository,sha,artifact_or_concept,classification,audit_status
PARAM_COMMON_01,2025-11-25T11:18:55Z,ShantiDraconis/millennium-classical-parameters,7d98a6da9ca7a94ab4d7264837b9e6b4ecf57af2,Common classical parameter framework,STRUCTURAL_PARAMETERIZATION,RECOVERED
PARAM_COMMON_MERGE,2025-11-25T12:22:06Z,ShantiDraconis/millennium-classical-parameters,1393fca1b471e7467673b9f0364b6eb495106ed2,Unified classical parameter framework merge,STRUCTURAL_PARAMETERIZATION,RECOVERED
NUMCLASS_4,2025-12-01T20:08:39Z,ShantiDraconis/Meta-mathematical-foundation-00,0a05801f649dd80a78f9e7fbf4d848ee59af51db,Four formal numerical classes,FORMAL_NUMERIC_CLASS_PROPOSAL,RECOVERED
NUMCLASS_FRAMEWORK,2025-12-01T20:22:09Z,ShantiDraconis/Meta-mathematical-foundation-00,5e8dbeaa76c79ed992dfa3c4c123435b45d7c375,Refutation theory with numeric classes,FORMAL_FRAMEWORK,RECOVERED
NUMCLASS_MAIN,2025-12-01T20:27:42Z,ShantiDraconis/Meta-mathematical-foundation-00,566bd0b93872e09bbfa9cad84c24ec8f6387c727,numerical-classes.tex laws and DualState,FORMAL_FRAMEWORK,RECOVERED
NUMCLASS_14_FIX,2025-12-01T20:45:08Z,ShantiDraconis/Meta-mathematical-foundation-00,3da124c56edd49ecbf84ea3d2776e08109e25961,TruthValueNumber class 13 and CriticalZeroNumber update,FORMAL_NUMERIC_CLASS_PROPOSAL,RECOVERED_WITH_SORRY_DEPENDENCY
DELTA_EQ_01,2025-12-02T19:22:26Z,ShantiDraconis/Millennium,4d3e8ae0060c05e2ed31ec37112d1846a6f4c4d2,Delta-gap equivalence framework,EQUIVALENCE_RESEARCH_FRAMEWORK,RECOVERED
COMMON_DIR,2025-12-02T22:25:48Z,ShantiDraconis/Millennium,959dbab49c641a5aca39de06f578e9f526fe4189,Shared mathematical structures directory,CROSS_PROBLEM_COMMONALITY,RECOVERED
DELTA_7,2025-12-03T09:46:56Z,ShantiDraconis/Millennium,e6084d5a4199f60566b2d73cdb4f6851152edf54,Delta Theory for 7 Clay problems,CROSS_PROBLEM_STATE_SPACE,RECOVERED
NON_UNIFY,2025-12-04T19:51:54Z,ShantiDraconis/Millennium,58bd01fcba8c6f6830f279f7f1029e22d121f44e,Non-Unification Framework,NON_UNIFIABLE_COMPONENT,RECOVERED
ERROR_PCT,2025-12-31T18:13:57Z,ShantiDraconis/universal-emergent-logic-,08d468c32fd0ba600488887b4c325d6f1b4222dc,Sensitivity-based error percentage decomposition,MODEL_DEPENDENT_PERCENTAGE_DECOMPOSITION,RECOVERED_TESTS_REPORTED
