target_object_id,target_name,target_file,target_specificity,best_candidate_repository,best_candidate_commit_sha,best_candidate_expression,equivalence_class,exact_match_type,explicit_map,notes
OPENAI-0001,divergence,ComparatorChallenges/Euler.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0002,InitialVelocityConditionDecay,ComparatorChallenges/Euler.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0003,EulerExistenceAndSmoothness,ComparatorChallenges/Euler.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0004,EulerExistenceAndSmoothnessR3,ComparatorChallenges/Euler.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0005,euler_breakdown_R3,ComparatorChallenges/Euler.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0006,toL2,ComparatorChallenges/Euler.lean,CLASSICAL,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0007,SobolevSmoothOn,ComparatorChallenges/Euler.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0008,vorticity,ComparatorChallenges/Euler.lean,CLASSICAL,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0009,vorticityNorm,ComparatorChallenges/Euler.lean,CLASSICAL,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0010,divergence,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0011,divergence_zero,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0012,divergence_add,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0013,divergence_smul,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0014,IsOnePeriodic,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0015,InitialVelocityConditionDecay,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0016,InitialVelocityConditionPeriodic,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0017,ForceCondition,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0018,ForceConditionPeriodic,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0019,NavierStokesExistenceAndSmoothnessRn,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0020,NavierStokesExistenceAndSmoothnessPeriodic,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0021,navier_stokes_breakdown_R3,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0022,navier_stokes_breakdown_periodic,ComparatorChallenges/NavierStokes.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0023,Budget,Euler/AllOrderCorrectionBudget.lean,DISTINCTIVE_CONSTRUCTION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0024,finite_exists,Euler/AllOrderCorrectionBudget.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0025,Data.lower_twice,Euler/AllOrderCorrectionCoherence.lean,DISTINCTIVE_COMBINATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0026,CoefficientTower,Euler/AllOrderCorrectionData.lean,DISTINCTIVE_COMBINATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0027,FieldTower.truncate,Euler/AllOrderCorrectionData.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0028,Data,Euler/AllOrderCorrectionData.lean,DISTINCTIVE_COMBINATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0029,Data.atOrder,Euler/AllOrderCorrectionData.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0030,Data.lower_atOrder,Euler/AllOrderCorrectionData.lean,DISTINCTIVE_COMBINATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0031,Data.metricBudget,Euler/AllOrderCorrectionData.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0032,solution,Euler/AllOrderCorrectionFamily.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0033,solution_initial,Euler/AllOrderCorrectionFamily.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0034,solution_divergence,Euler/AllOrderCorrectionFamily.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0035,solution_energy,Euler/AllOrderCorrectionFamily.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0036,solution_hasDerivAt,Euler/AllOrderCorrectionFamily.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0037,solution_compatible,Euler/AllOrderCorrectionFamily.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0038,solution_value_succ,Euler/AllOrderCorrectionFamily.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0039,stabilityBudget,Euler/AllOrderCorrectionStability.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0040,Budget,Euler/AllOrderDriftBudget.lean,DISTINCTIVE_COMBINATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0041,Budget.comparisonData,Euler/AllOrderDriftBudget.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0042,Budget.solution_compatible,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0043,Budget.commonPath,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0044,Budget.commonPath_initial,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0045,Budget.commonPath_divergence,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0046,Budget.commonPath_hasDerivAt,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0047,Budget.commonJet,Euler/AllOrderDriftCorrection.lean,DISTINCTIVE_COMBINATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0048,Budget.fieldTower,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0049,Budget.fieldTower_initial,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0050,Budget.solution_eq_realization,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0051,Budget.fieldTower_energy,Euler/AllOrderDriftCorrection.lean,DISTINCTIVE_COMBINATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0052,Budget.solution_sobolev_hasDerivAt,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0053,Budget.fieldTower_hasDerivAt,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0054,Budget.fieldTower_hasDerivAt_pressure,Euler/AllOrderDriftCorrection.lean,DISTINCTIVE_COMBINATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0055,Budget.pointField,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0056,Budget.pointField_ae,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0057,Budget.pointField_initial,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0058,Budget.pointField_joint_continuous,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0059,Budget.pointField_smooth,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0060,Budget.pointField_divergence,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
OPENAI-0061,Budget.commonPath_odd,Euler/AllOrderDriftCorrection.lean,STANDARD_SPECIALIZATION,,,,NO_VERIFIED_PRIOR_MATCH,N/A,,no candidate mapped in accessible corpus
