node_id,domain,normalized_object,earliest_repo,earliest_sha,earliest_timestamp,status,required_bridge
RH_ROOT,RH,nontrivial-zero critical-line target,ShantiDraconis/millennium-riemann-I,b1d2ab7fbdecd7b3acb161d306e23c29f6cc04d8,2025-11-23T02:05:34Z,PROVENANCE,RH_BRIDGE
PNP_ROOT,P_vs_NP,exact complexity separation/equality target,ShantiDraconis/millennium-p-vs-np-I,d46fdffe3c9a728d6755fdeeb35950a9127e3a33,2025-11-23T02:22:26Z,PROVENANCE,PNP_EXACT_COMPLEXITY_BRIDGE
NS_ROOT,Navier_Stokes,3D incompressible NS regularity/breakdown target,ShantiDraconis/millennium-navier-stokes-I,64bc633ecdb3a90ccfbf1c0863963c4bdd238d0f,2025-11-23T02:27:31Z,PROVENANCE,NS_CRITICAL_L3_OR_BREAKDOWN_BRIDGE
BSD_HODGE_YM_ROOT,BSD_Hodge_YM,shared early symbolic framework,ShantiDraconis/-millennium-bsd-hodge-yangmills-I,8c23634bbb5206d31d127316ceedd9c35627ea9d,2025-11-23T02:28:21Z,PROVENANCE,DOMAIN_SPECIFIC_BRIDGES
RH_TAIL,RH,tail-behavior analysis,ShantiDraconis/millennium-riemann-classical,5db1a345af289e56c4a85dd1534d796689d5edc9,2025-11-25T18:42:47Z,STRUCTURAL_PRECURSOR,RH_FINITE_ZERO_BRIDGE
INDET_BOUNDARY,Universal,boundary contact + indeterminacy profile + reduction map,ShantiDraconis/universal,f7e49629f85fa2968ac82ace2a7e5e09484e850b,2025-11-26T20:05:58Z,VERY_STRONG_STRUCTURAL_PRECURSOR,BOUNDARY_TO_DOMAIN_BRIDGE
LOCAL_GLOBAL,Universal,local-to-global framework multiprover,ShantiDraconis/Millennium,1fe08034de23623c23de6437cc54905382165549,2025-12-04T19:03:18Z,STRUCTURAL_FRAMEWORK,PROBLEM_SPECIFIC_BRIDGES
NON_UNIFICATION,Universal,irreducible barrier/non-unification framework,ShantiDraconis/Millennium,58bd01fcba8c6f6830f279f7f1029e22d121f44e,2025-12-04T19:51:54Z,GUARDRAIL,EXPLICIT_BRIDGE_REQUIRED
PHASE_ERROR,Universal,complex real/imaginary error architecture,ShantiDraconis/universal-emergent-logic-,20c8f0974b1d85076b29ce842706d1d702eb5ccd,2026-01-02T01:06:21Z,STRUCTURAL_FRAMEWORK,INVARIANCE_AND_DOMAIN_BRIDGES
REAL_IMAG_FOLLOWUP,Universal,complex-conjugate error decomposition follow-up,ShantiDraconis/universal-emergent-logic-,2c737199ccf11b76c56f5858ab2acd041a88e683,2026-09-06T10:22:30+02:00,LATE_FOLLOWUP,INVARIANCE_AND_DOMAIN_BRIDGES
