evidence_id,date_utc,repository,commit_sha,concept,classification,scientific_status
IB-001,2025-11-25T18:42:47Z,millennium-riemann-classical,5db1a345af289e56c4a85dd1534d796689d5edc9,Riemann tail behavior analysis,STRUCTURAL_PRECURSOR,NUMERICAL_AND_FORMAL_CORPUS
IB-002,2025-11-26T20:02:33Z,universal,4af56dc7f15e1fc237960c55c2b470bab783b52b,Universal Indeterminate Constant I and Structural Field J,STRUCTURAL_PRECURSOR,EXTENDED_SYMBOLIC_FRAMEWORK
IB-003,2025-11-26T20:05:58Z,universal,f7e49629f85fa2968ac82ace2a7e5e09484e850b,Universal Indeterminate Boundary Hypothesis,VERY_STRONG_STRUCTURAL_PRECURSOR,HYPOTHESIS_WITH_EXPLICIT_BOUNDARY_DEFINITIONS
IB-004,2025-12-03T10:46:56+01:00,Millennium,e6084d5a4199f60566b2d73cdb4f6851152edf54,Delta Theory commonalities across Clay problems,FRAMEWORK_MAP,REQUIRES_PROBLEM_SPECIFIC_BRIDGES
IB-005,2025-12-03T12:58:32Z,Millennium,5d5a893ada9bf5eb6907ef90bf160b50a4c6ad5a,Classical relationships and unification documentation,CROSS_PROBLEM_PROVENANCE,INDIVIDUAL_EDGES_REQUIRE_AUDIT
IB-006,2025-12-04T13:50:31Z,Millennium,b731d17f5e848110094ec9380237cba6b738b16b,Universal Gap Hypothesis,META_CONJECTURE,NOT_CLASSICAL_PROOF
IB-007,2025-12-04T14:04:11Z,Millennium,dcaac134f6c9861817bc4fa1a3739ba4a9c6eb4e,Gap Universal multiprover framework,FRAMEWORK_MAP,PROOF_STATUS_PER_DECLARATION_REQUIRED
IB-008,2025-12-04T19:03:18Z,Millennium,1fe08034de23623c23de6437cc54905382165549,Unified Local-Global multiprover framework,FRAMEWORK_MAP,PROBLEM_SPECIFIC_BRIDGES_OPEN
IB-009,2025-12-04T19:51:54Z,Millennium,58bd01fcba8c6f6830f279f7f1029e22d121f44e,Non-Unification Framework,OBSTRUCTION_EVIDENCE,PREVENTS_FALSE_EQUIVALENCE_CLAIMS
IB-010,2025-12-26T19:35:53+01:00,universal-emergent-logic-,07bb456be167003960008b1caa669d4ced367841,Master Stability Equation 38-parameter framework,SOURCE_CLAIM_REQUIRES_DEPENDENCY_AUDIT,NOT_PROOF_FROM_TITLE
IB-011,2025-12-26T22:03:14Z,universal-emergent-logic-,da1d038a6551e526c35cd3d2adc349ec65761e29,Topological Unification Structure,SOURCE_CLAIM_REQUIRES_DEPENDENCY_AUDIT,NOT_PROOF_FROM_TITLE
IB-012,2025-12-26T22:46:46+01:00,Universe-0-0,987b3ff16045df13d16e6776118c9242646f8128,38-parameter stability manifold unification,SOURCE_CLAIM_REQUIRES_DEPENDENCY_AUDIT,NOT_PROOF_FROM_TITLE
IB-013,2026-01-02T01:06:21Z,universal-emergent-logic-,20c8f0974b1d85076b29ce842706d1d702eb5ccd,Phase Error Nullification real-imaginary architecture,VERY_STRONG_STRUCTURAL_PRECURSOR,SOURCE_CLAIM_UNVERIFIED
IB-014,2026-01-05T16:53:16Z,The-Algebra-of-Ideterminate-I,86656f7ab8d7d23137f4ddf8c631e134f4994bb8,Cosmology formalization across proof systems,FORMALIZATION_PROVENANCE,EMPIRICAL_VALIDATION_NOT_ESTABLISHED
IB-015,2026-01-05T17:00:24Z,The-Algebra-of-Ideterminate-I,8642ae3fcc1f181f3893d579ec86527653256b51,Dynamical dark-energy cosmology merge,FORMALIZATION_PROVENANCE,EMPIRICAL_VALIDATION_NOT_ESTABLISHED
IB-016,2026-01-06T03:58:59Z,Universe-0-0,388fb45b76bffd78c4d6fe42e2b073d6cf7410a5,Horizon Prime unified formula,FRAMEWORK_PROVENANCE,REQUIRES_THEOREM_AUDIT
IB-017,2026-01-06T06:43:51Z,Universe-0-0,3a212951fbc740c59aecacdeae4c3aca1ac155d6,Sorry Singularity Axiom,AXIOMATIC_META_FRAMEWORK,NOT_STANDARD_LEAN_EQUALITY
IB-018,2026-01-06T08:01:40+01:00,Universe-0-0,184613fa824b54cd58bf5ecf2cb3526a4ccd116e,sorry equals 0/0 equals I source claim,AXIOMATIC_META_FRAMEWORK,NOT_STANDARD_SEMANTIC_EQUALITY
IB-019,2026-04-23T14:26:30Z,horizon-prime---framework,355e2e5086ded70e8d05b366284335c4c750078a,RiemannOperator conditional off-line zero state,CONDITIONAL_COMPUTATIONAL_MODEL,DOES_NOT_ESTABLISH_OFF_LINE_ZERO
IB-020,2026-09-12T08:39:00Z,navier-stokes-critical-barrier-audit,f9ccfcf0940750fee9e702d5ad6b95fa7257a7e5,I NaN null sorry meta-provenance layer,AUDIT_META_LAYER,PROOF_STATUS_SEPARATED_FROM_META_TAG
IB-021,2026-09-12,navier-stokes-critical-barrier-audit,33bc1f989ed9eeab5474183a1db37777b8c6d217,Boundary-at-Infinity Realification Hypothesis,AUDIT_FORMALIZATION,HYPOTHESIS_AND_FALSIFICATION_CRITERIA
