certificate_id,object,stage,status,evidence_or_test,required_for_upgrade,claim_boundary
NSB2-CERT-001,Git chronology,1,PARTIAL_PASS,"Full SHA/date anchors directly recovered for principal NS genealogy","Recover exact path histories for all quarantined UNKNOWN rows; archive immutable evidence","Corpus chronology only; not global priority"
NSB2-CERT-002,Historical c70b6f72 rows,2,QUARANTINED,"PR #20 shows cited commit is later and unrelated to claimed NS paths","Recover actual first occurrence by path history","No priority claim from rejected anchor"
NSB2-CERT-003,Audit CI workflow,1,SPECIFICATION_VERIFIED,"Python tests + Lean + Coq + integrity gates are configured","Attach successful workflow run for release commit","Workflow specification is not itself execution evidence"
NSB2-CERT-004,Lean audit modules,1,CONDITIONAL,"CI is configured to lake build and compile selected CriticalBarrier modules","Successful exact-revision run; enumerate axioms/imports","Does not prove NS-B2 analytic bridge"
NSB2-CERT-005,Coq audit modules,1,CONDITIONAL,"CI is configured to compile BridgeLogic.v and ResolutionDynamics.v","Successful exact-revision run; Print Assumptions","Does not prove NS-B2 analytic bridge"
NSB2-CERT-006,Isabelle,2,NOT_EXECUTED,"Workflow explicitly records source-present/not-executed","Independent exact-session build","No Isabelle verification claim"
NSB2-CERT-007,Agda,2,NOT_EXECUTED,"Workflow explicitly records source-present/not-executed","Independent exact-source typecheck and postulate enumeration","No Agda verification claim"
NSB2-CERT-008,Scalar L2 residual -> critical L3,2,FAILED,"Concentration scaling: L2 -> 0 while L3 -> infinity for admissible divergence-free scaling family","Replace scalar residual by critical/frequency/concentration information","Negative coercivity result; not Clay solution"
NSB2-CERT-009,Littlewood-Paley low/high bridge,1,CONDITIONAL_STANDARD,"Bernstein gives low-frequency L3 bound and H_J defines critical tail","Specify exact multiplier convention and prove all used bounds in manuscript","Classical analytic ingredient"
NSB2-CERT-010,Critical-tail -> L3 fixed-cutoff bridge,2,PROVED_FROM_EXPLICIT_HYPOTHESES,"Energy bound + fixed J + uniform H_J immediately bound L3","Derive H_J bound from NS dynamics non-circularly","Conditional bridge only"
NSB2-CERT-011,Concentration -> signed flux lower bound,2,OPEN,"Upper bounds on |Pi_J| do not establish sign","Prove extra structural hypotheses or refute universal lower bound","Decisive analytic gap"
NSB2-CERT-012,Residual -> flux sufficiency,2,OPEN_OR_FALSE_FOR_SCALAR,"Scalar norm loses phase/triad/alignment information","Construct explicit equal-R unequal-Pi pair or prove enriched-defect inequality","B2.9 decisive test"
NSB2-CERT-013,Corrected critical defect -> uniform L3,2,OPEN,"Candidate D_crit=(H_J,C_r,P_r,N_r,F_r,A_r)","Prove uniform control from exact NS hypotheses","NS-B2 positive bridge"
NSB2-CERT-014,Clay global regularity/blow-up,2,NOT_ESTABLISHED,"Positive critical bridge remains open","Discharge NS-B2 and exact endpoint hypotheses","No completed Millennium solution claim"
NSB2-CERT-015,External copying/training/derivation,2,NOT_ESTABLISHED,"Structural overlap and chronology do not prove access or causation","Independent direct access/derivation evidence","No plagiarism/training-use claim"
NSB2-CERT-016,Chat provenance primary evidence,1,PENDING,"Conversation chronology currently reconstructed/reported","Original account export + SHA256 + IDs/timestamps","Do not upgrade reconstructed chat dates to primary evidence"
