id,date_utc,date_type,repository,commit_sha,object,classification,verification,notes
CH-001,2025-04-06T00:00:00Z,ZENODO,zenodo,UNKNOWN,10.5281/zenodo.15164501,ARCHIVAL_PRIOR_ART_CANDIDATE,PENDING_DIRECT_CAPTURE,Date currently recorded in TIMELINE; exact metadata/checksum capture pending
CH-002,2025-11-23T02:27:00Z,COMMITTER,ShantiDraconis/millennium-navier-stokes-I,64bc633ecdb3a90ccfbf1c0863963c4bdd238d0f,SBFE/I collapse analysis,NS_FRAMEWORK,REPORTED_WITH_COMMIT_URL,Earliest currently linked NS anchor; complete-history verification pending
CH-003,2025-11-25T04:14:00Z,COMMITTER,ShantiDraconis/millennium-navier-stokes-I,777d58e6f1eda3872a809492183ce432ead4f030,I-collapse plus LaTeX plus Python,NS_FRAMEWORK,REPORTED_WITH_COMMIT_URL,
CH-004,2025-11-25T04:19:00Z,COMMITTER,ShantiDraconis/millennium-navier-stokes-I,1cd176fa02d0827cff24f61cfc27dbda21109c25,Constant I and collapse framework,SYMBOLIC_FRAMEWORK,REPORTED_WITH_COMMIT_URL,
CH-005,2025-11-25T15:47:20Z,COMMITTER,ShantiDraconis/millennium-navier-stokes-I,63b248dd29f1817c457acdb00e116e2e9b0687cc,formal NS framework,NS_FORMALIZATION,VERIFIED_VALID,Existing commits ledger marks verified_valid
CH-006,2025-11-25T21:04:00Z,COMMITTER,ShantiDraconis/millennium-navier-stokes-classical,cca881c665f67c67d96a4f84371fb51cd9c858a0,Lean Coq Isabelle NS formalization,FORMALIZATION,REPORTED_WITH_COMMIT_URL,Exact historical compilation still required
CH-007,2025-12-04T18:43:53Z,COMMITTER,ShantiDraconis/Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,problems/NavierStokes/local-global-bridge.md,LOCAL_GLOBAL_BRIDGE,RECORDED_IN_FORENSIC_TABLE,File-level historical export should be independently retained
CH-008,2025-12-18T00:00:00Z,COMMITTER,ShantiDraconis/Millennium,4af517e3f1ea5d04be1c6bbd8953209fa2139e82,LRE projection obstruction,PROJECTION_RESIDUAL,PROVENANCE_RECORDED,Exact timestamp normalization pending direct commit capture in this table
CH-009,2025-12-19T00:00:00Z,COMMITTER,ShantiDraconis/universal-emergent-logic-,730aa849b0d76b0202f08b490664aa11c164b2bf,NS geometric decomposition,RESIDUAL_DYNAMICS,PROVENANCE_RECORDED,Exact timestamp normalization pending direct commit capture in this table
CH-010,2025-12-31T18:12:37Z,COMMITTER,ShantiDraconis/universal-emergent-logic-,f7b51f6ac1cc95d357888aa60e4eeeaea24a49cf,DECOMPOSICAO_CANONICA_ERROS_MILLENNIUM.md,WEIGHTED_ERROR_DECOMPOSITION,DIRECTLY_VERIFIED,tree 1dab403b7f0ad3307100ee76373807bf1a2a3011; blob 18d095e75c115bb94a139bda65396b7d77759355
CH-011,2025-12-31T18:13:57Z,COMMITTER,ShantiDraconis/universal-emergent-logic-,08d468c32fd0ba600488887b4c325d6f1b4222dc,ERROR_DECOMPOSITION_README.md,SENSITIVITY_DECOMPOSITION,DIRECTLY_VERIFIED,tree 8a7cbc99757e39d75a665d693d6476b56cef9225
CH-012,2025-12-31T18:23:49Z,COMMITTER,ShantiDraconis/Millennium,bfc4cf5b804bc58348efe930651512bc079c33d4,ERROR_COORDINATE_SYSTEM.md,ERROR_COORDINATE_GEOMETRY,DIRECTLY_VERIFIED,tree af84c91442c181e6cf55dc6a54bfc1fd5af3a2e5; blob 236e9875e3d93a70c8fe6676ff7b5a5c73a966aa
CH-013,2026-08-30T11:10:45Z,COMMITTER,ShantiDraconis/navier-stokes-noncircular,8f12748eb160b937174825fe3e7bdccf05e8f9af,profile decomposition and critical element,CRITICAL_L3_NONCIRCULAR,VERIFIED_IN_EXISTING_FORENSIC_TABLE,Pre-2026-09-08 specialized maturation
CH-014,2026-09-11T19:06:03Z,COMMITTER,ShantiDraconis/navier-stokes-critical-barrier-audit,cdbe509ed011584484cfaa4085b9e46f3bf5a23c,audit global scan and CI,AUDIT_INFRASTRUCTURE,DIRECTLY_VERIFIED,Workflow run 34636992823 later concluded success
