claim_id,domain,claim,status,evidence_required,current_verdict
C001,provenance,Exact uploaded notebook bytes have listed SHA-256,FORMAL/COMPUTATIONAL,raw bytes plus SHA-256,SUPPORTED
C002,provenance,2024 Colab research activity predates late-2025 Git NS corpus,PROVENANCE,user-supplied Drive metadata plus Git history,SUPPORTED_BOUNDED
C003,priority,Researcher was globally first to discover all related ideas,GLOBAL_PRIORITY,exhaustive prior-art record,UNRESOLVED
C004,Navier-Stokes,epsilon_NS is invariant under classical 3D scaling,MATHEMATICAL_PROOF,scaling calculation,PROVED
C005,Navier-Stokes,epsilon_NS boundedness implies regularity,OPEN_BRIDGE,coercive critical-space estimate,OPEN
C006,Navier-Stokes,universal 65 percent threshold implies regularity,OPEN_BRIDGE,rigorous theorem independent of fitted model,NOT_ESTABLISHED
C007,Riemann,SEET residual factorization is exact,MODEL_IDENTITY,algebraic derivation,PROVED
C008,Riemann,quartet is closed under conjugation and critical-line reflection,MODEL_IDENTITY,algebraic derivation,PROVED
C009,Riemann,rho=1/2+d+i*gamma used by model is an actual zeta zero,OPEN_BRIDGE,certified zeta zero isolation,NOT_ESTABLISHED
C010,Riemann,hard-coded 1.04e-560 string is a computed residual,COMPUTATIONAL,derivation in code,REJECTED_FOR_HARDCODED_INSTANCE
C011,error-model,weighted contributions sum to 100 percent when denominator positive,MATHEMATICAL_PROOF,normalization derivation,PROVED
C012,error-model,weighted percentages are canonical or invariant under reparameterization,MATHEMATICAL,model-independence theorem,REJECTED
C013,formalization,multi-prover algebra source exists,PROVENANCE,exact historical files,SUPPORTED
C014,formalization,all multi-prover results are kernel-checked,FORMAL_BUILD,clean pinned builds without admitted dependencies,OPEN
C015,physics,raw sums of dimensionally incompatible constants define physical laws,PHYSICAL_VALIDITY,dimensional normalization and derivation,REJECTED_AS_WRITTEN
