evidence_id,claim_id,object_id,source_type,source_identifier,source_url,repository,commit_sha,blob_sha,file_path,line_range,assertion,status,verification_method,directly_observed,independent_timestamp,publicly_accessible,event_date,verification_date,supports_priority,supports_equivalence,supports_causation,confidence,limitations,required_next_action
EVID-001,CLAIM-ZENODO-ACCESS,ENV:ZENODO_ACCESS,execution_log,requests.get zenodo.org direct-access check,https://zenodo.org/api/records/15164501,REPO:AUDIT_CURRENT,PENDING,N/A,N/A,N/A,Direct Zenodo API/page access was unavailable in the current environment during this audit because zenodo.org DNS resolution failed.,VERIFIED,Direct HTTPS requests from this sandbox failed on 2026-09-11 and were observed in the command output.,YES,NO,NO,2026-09-11,2026-09-11,NO,NO,NO,HIGH,"This verifies only current-environment inaccessibility, not the underlying Zenodo record content.",Retry direct Zenodo API/page capture from an environment with working network resolution.
EVID-002,CLAIM-ZENODO-15164501-ROLE,ZENODO:15164501,repository_metadata,evidence/zenodo_records.yaml,https://zenodo.org/records/15164501,REPO:AUDIT_CURRENT,PENDING,PENDING,evidence/zenodo_records.yaml,2-7,The current audit assigns ROLE = ZENODO_PUBLIC_PRIOR_ART to DOI 10.5281/zenodo.15164501.,VERIFIED,Directly observed in the working tree audit metadata file.,YES,NO,UNKNOWN,2026-09-11,2026-09-11,NO,NO,NO,HIGH,"This verifies only the audit classification, not the external Zenodo metadata itself.",Keep the role but assess each external metadata field separately.
EVID-003,CLAIM-ZENODO-15164501-ID,ZENODO:15164501,repository_derived_external_metadata,Dependent repo-derived Zenodo metadata cluster,https://zenodo.org/records/15164501,EXTERNAL:ZENODO,UNKNOWN,UNKNOWN,evidence/zenodo_records.yaml; priority/12_zenodo_public_prior_art_dossier.md; evidence/external_publications/README.md; TIMELINE.md,evidence/zenodo_records.yaml:2-7; priority/12_zenodo_public_prior_art_dossier.md:24-27; evidence/external_publications/README.md:7-10; TIMELINE.md:3-7,DOI 10.5281/zenodo.15164501 and the record URL identify the external Zenodo public-prior-art candidate under review.,REPORTED,"Known from repository files and user-supplied task metadata, but not independently verified against Zenodo in this environment.",YES,NO,UNKNOWN,UNKNOWN,2026-09-11,NO,NO,NO,MEDIUM,Multiple repository files repeat the same underlying unverified Zenodo metadata and do not create independent corroboration.,Verify the DOI and record URL directly against Zenodo or archived forensic capture.
EVID-004,CLAIM-ZENODO-15164501-TITLE,ZENODO:15164501#TITLE,repository_derived_external_metadata,Dependent repo-derived Zenodo metadata cluster,https://zenodo.org/records/15164501,EXTERNAL:ZENODO,UNKNOWN,UNKNOWN,evidence/zenodo_records.yaml; priority/12_zenodo_public_prior_art_dossier.md; TIMELINE.md,evidence/zenodo_records.yaml:7-10; priority/12_zenodo_public_prior_art_dossier.md:26-35; TIMELINE.md:5-7,The reported title for DOI 10.5281/zenodo.15164501 is Equations of Major Unsolved Problems in Mathematics.,REPORTED,Repeated in repository files but not directly verified against the Zenodo primary source.,YES,NO,UNKNOWN,UNKNOWN,2026-09-11,NO,NO,NO,MEDIUM,Same underlying metadata repeated across dependent files.,Capture the primary-source Zenodo title from the record page or API JSON.
EVID-005,CLAIM-ZENODO-15164501-CREATOR,ZENODO:15164501#CREATOR,repository_derived_external_metadata,Dependent repo-derived Zenodo metadata cluster,https://zenodo.org/records/15164501,EXTERNAL:ZENODO,UNKNOWN,UNKNOWN,evidence/zenodo_records.yaml; priority/12_zenodo_public_prior_art_dossier.md,evidence/zenodo_records.yaml:8-10; priority/12_zenodo_public_prior_art_dossier.md:28-30,The reported creator for DOI 10.5281/zenodo.15164501 is Tiago Fagliari aka Draconis Shanti.,REPORTED,Present in repository-derived Zenodo metadata only; direct Zenodo verification unavailable here.,YES,NO,UNKNOWN,UNKNOWN,2026-09-11,NO,NO,NO,MEDIUM,Not independently checked against Zenodo creator metadata or ORCID fields.,Capture the creator list directly from Zenodo metadata.
EVID-006,CLAIM-ZENODO-15164501-DATE,ZENODO:15164501#PUBLICATION_DATE,repository_derived_external_metadata,Dependent repo-derived Zenodo metadata cluster,https://zenodo.org/records/15164501,EXTERNAL:ZENODO,UNKNOWN,UNKNOWN,evidence/zenodo_records.yaml; priority/12_zenodo_public_prior_art_dossier.md; evidence/external_publications/README.md; TIMELINE.md,evidence/zenodo_records.yaml:11-13; priority/12_zenodo_public_prior_art_dossier.md:28-35; evidence/external_publications/README.md:7-10; TIMELINE.md:3-7,The reported Zenodo creation/publication date for DOI 10.5281/zenodo.15164501 is 2025-04-06.,REPORTED,Repository-reported external metadata only; direct Zenodo or archived primary-source confirmation unavailable here.,YES,NO,UNKNOWN,2025-04-06,2026-09-11,YES,NO,NO,MEDIUM,Cannot be counted as an independently verified public timestamp until the primary record is captured directly.,Verify the record date from Zenodo or an independent archival source.
EVID-007,CLAIM-ZENODO-15164501-TYPE,ZENODO:15164501#TYPE,repository_derived_external_metadata,Dependent repo-derived Zenodo metadata cluster,https://zenodo.org/records/15164501,EXTERNAL:ZENODO,UNKNOWN,UNKNOWN,evidence/zenodo_records.yaml; priority/12_zenodo_public_prior_art_dossier.md,evidence/zenodo_records.yaml:11-13; priority/12_zenodo_public_prior_art_dossier.md:30-33,The reported publication type for DOI 10.5281/zenodo.15164501 is preprint.,REPORTED,Repository-derived metadata only; no direct Zenodo fetch.,YES,NO,UNKNOWN,UNKNOWN,2026-09-11,NO,NO,NO,MEDIUM,Same dependent-source repetition issue as other record metadata fields.,Verify the resource type directly from Zenodo metadata.
EVID-008,CLAIM-ZENODO-15164501-LICENSE,ZENODO:15164501#LICENSE,repository_derived_external_metadata,Dependent repo-derived Zenodo metadata cluster,https://zenodo.org/records/15164501,EXTERNAL:ZENODO,UNKNOWN,UNKNOWN,evidence/zenodo_records.yaml; priority/12_zenodo_public_prior_art_dossier.md,evidence/zenodo_records.yaml:12-13; priority/12_zenodo_public_prior_art_dossier.md:31-33,The reported license for DOI 10.5281/zenodo.15164501 is CC-BY-4.0.,REPORTED,Repository-derived metadata only; no direct Zenodo fetch.,YES,NO,UNKNOWN,UNKNOWN,2026-09-11,NO,NO,NO,MEDIUM,License field remains unverified against the primary source.,Verify the Zenodo license field directly.
EVID-009,CLAIM-ZENODO-15164501-SUBJECTS,ZENODO:15164501#SUBJECTS,repository_derived_external_metadata,Dependent repo-derived Zenodo metadata cluster,https://zenodo.org/records/15164501,EXTERNAL:ZENODO,UNKNOWN,UNKNOWN,evidence/zenodo_records.yaml; priority/12_zenodo_public_prior_art_dossier.md,evidence/zenodo_records.yaml:13-16; priority/12_zenodo_public_prior_art_dossier.md:32-34,The reported subjects for DOI 10.5281/zenodo.15164501 include Navier-Stokes and Millennium.,REPORTED,Repository-derived metadata only; not independently checked against Zenodo.,YES,NO,UNKNOWN,UNKNOWN,2026-09-11,NO,NO,NO,MEDIUM,Subjects cannot establish mathematical equivalence or N7 by themselves.,Verify the Zenodo subject/keyword fields directly.
EVID-010,CLAIM-ZENODO-15164501-VERSION-NOTE,ZENODO:15164501#VERSION_NOTE,repository_derived_external_metadata,Dependent repo-derived Zenodo metadata cluster,https://zenodo.org/records/15164501,EXTERNAL:ZENODO,UNKNOWN,UNKNOWN,evidence/zenodo_records.yaml; priority/12_zenodo_public_prior_art_dossier.md,evidence/zenodo_records.yaml:17-17; priority/12_zenodo_public_prior_art_dossier.md:33-35,The reported version note for DOI 10.5281/zenodo.15164501 is that the original April 2025 version is preserved.,REPORTED,Repository-derived note only; no direct Zenodo version string or relation graph was captured.,YES,NO,UNKNOWN,UNKNOWN,2026-09-11,NO,NO,NO,LOW,A narrative version note is weaker than a directly captured Zenodo version field or relation metadata.,Capture the exact Zenodo version field and any version relationships.
