certificate_id,object,repository,commit_sha,date_utc,evidence_status,proof_status,execution_status,claim_scope
CERT-BOUNDARY-001,Universal Indeterminate Boundary operator,ShantiDraconis/universal,f7e49629f85fa2968ac82ace2a7e5e09484e850b,2025-11-26T20:05:58Z,L5_GIT_OBJECT,HYPOTHESIS_WITH_EXPLICIT_DEFINITIONS,SOURCE_INSPECTED,Boundary/classification/reduction provenance only
CERT-NS-ESS-001,ESS endpoint target,ShantiDraconis/millennium-navier-stokes-classical,5eee6ce82dda31852cd52db61104c42433ec7ae4,2025-11-25T11:37:02Z,L5_GIT_OBJECT,SORRY_OR_TRUE_PLACEHOLDER,HISTORICAL_SOURCE_INSPECTED,Prior formal statement not internal proof
CERT-LRE-QCO-001,quantitative_closure_obstruction,ShantiDraconis/universal-emergent-logic-,a762e7b76464656236075548343f596ab8bc6815,2025-12-19T17:38:05Z,L5_GIT_OBJECT,INTERNAL_FORMAL_PROOF_GENERIC,SOURCE_INSPECTED_REBUILD_PENDING,Generic implication conditional on coupling hypothesis
CERT-NS-RSI-001,Navier-Stokes residual stability inequality,ShantiDraconis/universal-emergent-logic-,abdaa41189864f85d3b9f8c8fec6b3ec4431eab5,2025-12-19T17:55:31Z,L5_GIT_OBJECT,SORRY_OR_OPEN_BRIDGE,HISTORICAL_SOURCE_INSPECTED,NS-specific analytic bridge unresolved
CERT-NS-REPS-001,R(epsilon;t) projection residual certificate,ShantiDraconis/universal-emergent-logic-,6f52d839ebfa116c1725a1c57abfcd812c3b4577,2025-12-26T14:02:55Z,L5_GIT_OBJECT,OPEN_BRIDGE_EXPLICIT,HISTORICAL_SOURCE_INSPECTED,Regularity implication explicitly missing
CERT-NS-EPS-001,epsilon_NS ratio and 0.65 threshold proposal,ShantiDraconis/universal-emergent-logic-,91ba0b43b0bec9bf6d13621cda886bceb7b3e152,2026-01-01T22:51:57Z,L5_GIT_OBJECT,COMPUTATIONAL_HYPOTHESIS,HISTORICAL_SOURCE_INSPECTED,Not a universal regularity theorem
CERT-AUDIT-GAP-001,GapCollapseAudit typed metadata model,ShantiDraconis/navier-stokes-critical-barrier-audit,755ecaad6b787c930ed9bd018090995d7e6894c4,2026-09-12,AUDIT_GIT_OBJECT,AXIOM_FREE_SOURCE,BUILD_PENDING,Audit metadata theorem only
CERT-AUDIT-BRIDGE-LEAN-001,BridgeLogic Lean implication/refutation skeleton,ShantiDraconis/navier-stokes-critical-barrier-audit,92c2b5f5ea58818b2f3c155155d51b89e9eceb1,2026-09-12,AUDIT_GIT_OBJECT,AXIOM_FREE_SOURCE,CI_BUILD_TRIGGERED_NOT_YET_OBSERVED,Logical dependency certificate only
CERT-AUDIT-BRIDGE-COQ-001,BridgeLogic Coq implication/refutation skeleton,ShantiDraconis/navier-stokes-critical-barrier-audit,3fc863ead46157ed3f8a09b883667d803df2fdb2,2026-09-12,AUDIT_GIT_OBJECT,AXIOM_FREE_SOURCE,CI_BUILD_TRIGGERED_NOT_YET_OBSERVED,Logical dependency certificate only
CERT-AUDIT-BRIDGE-ISA-001,BridgeLogic Isabelle implication/refutation skeleton,ShantiDraconis/navier-stokes-critical-barrier-audit,7c7425c001e114be1541b2ea51e0cedc80914917,2026-09-12,AUDIT_GIT_OBJECT,AXIOM_FREE_SOURCE,SOURCE_PRESENT_NOT_EXECUTED,Logical dependency certificate only
CERT-AUDIT-BRIDGE-AGDA-001,BridgeLogic Agda implication/refutation skeleton,ShantiDraconis/navier-stokes-critical-barrier-audit,43d4d980143499bef7a724f86d0a3da0a3791c9c,2026-09-12,AUDIT_GIT_OBJECT,AXIOM_FREE_SOURCE,SOURCE_PRESENT_NOT_EXECUTED,Logical dependency certificate only
