target_object_id,repository,commit_sha,parent_sha,tree_sha,blob_sha,author_date,committer_date,file_path,previous_path,exact_expression,normalized_expression,parent_diff,reason_for_candidate
OPENAI-26715,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,smooth compactly supported data to finite-time blowup branch,smooth compactly supported data to finite-time blowup branch,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-26711,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,smooth compactly supported data to finite-time blowup branch,smooth compactly supported data to finite-time blowup branch,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-26709,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,smooth compactly supported data to finite-time blowup branch,smooth compactly supported data to finite-time blowup branch,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-26707,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,smooth compactly supported data to finite-time blowup branch,smooth compactly supported data to finite-time blowup branch,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-26704,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,smooth compactly supported data to finite-time blowup branch,smooth compactly supported data to finite-time blowup branch,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-26701,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,smooth compactly supported data to finite-time blowup branch,smooth compactly supported data to finite-time blowup branch,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-26690,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,smooth compactly supported data to finite-time blowup branch,smooth compactly supported data to finite-time blowup branch,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=2
OPENAI-40582,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,smooth compactly supported data to finite-time blowup branch,smooth compactly supported data to finite-time blowup branch,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-40576,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,smooth compactly supported data to finite-time blowup branch,smooth compactly supported data to finite-time blowup branch,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-40563,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,smooth compactly supported data to finite-time blowup branch,smooth compactly supported data to finite-time blowup branch,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-37477,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,self-similar or asymptotically self-similar blowup strategy,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-37476,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,self-similar or asymptotically self-similar blowup strategy,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-37450,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,self-similar or asymptotically self-similar blowup strategy,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-26715,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,self-similar or asymptotically self-similar blowup strategy,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-26711,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,self-similar or asymptotically self-similar blowup strategy,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
OPENAI-26709,Millennium,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,UNKNOWN,UNKNOWN,2025-12-04T18:43:53Z,2025-12-04T18:43:53Z,Millennium: problems/NavierStokes/local-global-bridge.md,UNKNOWN,self-similar or asymptotically self-similar blowup strategy,self-similar or asymptotically self-similar blowup strategy,UNKNOWN,seeded_from_forensic_first_occurrence;token_overlap=1
