bridge_id,domain,normalized_statement,current_status,required_resolution,formal_interface,evidence_anchor,blocks_endpoint,notes
NS-B1,Navier-Stokes,"Define exact admissible solution/data/domain/forcing class and viscosity assumptions",OPEN_BRIDGE,"Exact classical specification with quantified hypotheses",CriticalBarrier.EndpointInterfaces.NSAssumptions,audit/26_bridge_obligations.md,true,"No theorem may quantify over an underspecified solution class"
NS-B2,Navier-Stokes,"Repository condition R(u) implies sup_{t<T} ||u(t)||_{L3} < infinity",OPEN_BRIDGE,"Non-circular analytic estimate in the Clay-admissible class",CriticalBarrier.EndpointInterfaces.NSCriticalBridge,audit/31_exact_origin_ns_error_to_L3_bridge.md,true,"Decisive regularity bridge"
NS-B3,Navier-Stokes,"Critical L3 control satisfies the exact hypotheses of the ESS continuation endpoint",EXTERNAL_THEOREM,"Map domain/time/solution hypotheses to the imported ESS theorem",CriticalBarrier.EndpointInterfaces.ESSEndpoint,audit/33_mathlib4_LInf_L3_formalization_map.md,true,"External theorem use must enumerate every hypothesis"
NS-B4,Navier-Stokes,"epsilon_NS is well-defined on the claimed class including denominator-degenerate states",OPEN_BRIDGE,"Specify denominator-zero branch or restricted domain and prove closure under evolution",CriticalBarrier.EndpointInterfaces.EpsilonWellDefined,audit/44_peer_review_gap_theorem_submission_plan.md,true,"Scale invariance alone is insufficient"
NS-B5,Navier-Stokes,"A universal epsilon_NS threshold controls a recognized critical norm",OPEN_BRIDGE,"Prove coercive inequality with constants and admissible class",CriticalBarrier.EndpointInterfaces.EpsilonCoercive,audit/44_peer_review_gap_theorem_submission_plan.md,true,"Historical 0.65+/-0.05 remains a model proposal until proved"
NS-B6,Navier-Stokes,"Projection/residual/correction iteration preserves incompressibility, regularity, forcing/support constraints and contracts a critical defect",OPEN_BRIDGE,"Construct iteration and prove invariant preservation plus contraction",CriticalBarrier.EndpointInterfaces.CorrectionClosure,audit/09_required_cancellations.md,true,"Programmatic similarity is not the theorem"
NS-B7,Navier-Stokes,"Pressure reconstruction is compatible with the chosen correction/residual architecture",OPEN_BRIDGE,"Poisson/Helmholtz compatibility theorem in exact function spaces",CriticalBarrier.EndpointInterfaces.PressureCompatibility,audit/06_pressure_compatibility_test.md,true,"Pressure cannot be treated as a free cancellation variable"
NS-B8,Navier-Stokes,"Smooth forcing/support/decay conditions are preserved by any breakdown candidate",OPEN_BRIDGE,"Verify every Clay comparator condition for the constructed candidate",CriticalBarrier.EndpointInterfaces.ForcingCompatibility,audit/05_forcing_smoothness_test.md,true,"Required for any breakdown/counterexample route"
NS-B9,Navier-Stokes,"Mean/phase/error closure implies a local pointwise or critical-space estimate strong enough for continuation",OPEN_BRIDGE,"Prove mean-to-local/coercive estimate or discard this route",CriticalBarrier.EndpointInterfaces.MeanToCritical,audit/12_open_questions.md,true,"Zero mean does not imply pointwise smallness"
RH-B1,Riemann,"Every purported off-line/critical candidate used by the framework is a certified zero of zeta",OPEN_BRIDGE,"Rigorous zero certification with error bounds",CriticalBarrier.EndpointInterfaces.RHZeroCertificate,audit/44_peer_review_gap_theorem_submission_plan.md,true,"Symmetry is not zerohood"
RH-B2,Riemann,"Tail/boundary stability implies D_tail(T)=0 for every T",OPEN_BRIDGE,"Analytic tail theorem covering all nontrivial zeros",CriticalBarrier.EndpointInterfaces.RHTailBridge,audit/24_indeterminate_boundary_rh_dark_sector.md,true,"Finite verification cannot close the infinite tail"
PNP-B1,P_vs_NP,"Approximate/parameter collapse exactifies to an unconditional worst-case statement for all deterministic polynomial-time machines",OPEN_BRIDGE,"Complexity-theoretic exactification theorem",CriticalBarrier.EndpointInterfaces.PNPExactification,audit/36_clay_submission_grade_problem_dossiers.md,true,"Must confront relevant relativization/natural-proofs/algebrization barriers"
BSD-B1,BSD,"Local/arithmetic defect closure implies ord_{s=1} L(E,s) = rank E(Q) for every required elliptic curve",OPEN_BRIDGE,"Arithmetic bridge including exact analytic continuation and rank comparison",CriticalBarrier.EndpointInterfaces.BSDBridge,audit/36_clay_submission_grade_problem_dossiers.md,true,"Parameter equality is not the BSD theorem"
HODGE-B1,Hodge,"Vanishing algebraicity defect yields surjectivity of the rational cycle-class map onto all rational (p,p) classes",OPEN_BRIDGE,"Geometric/algebraic cycle construction theorem",CriticalBarrier.EndpointInterfaces.HodgeBridge,audit/36_clay_submission_grade_problem_dossiers.md,true,"Approximation does not imply algebraicity"
YM-B1,Yang-Mills,"Framework stability yields a rigorously constructed nontrivial 4D quantum Yang-Mills theory with positive mass gap",OPEN_BRIDGE,"Constructive QFT + reconstruction/continuum-limit + spectral-gap theorem",CriticalBarrier.EndpointInterfaces.YMBridge,audit/36_clay_submission_grade_problem_dossiers.md,true,"Lattice or numerical gap evidence is insufficient"
META-B1,Meta,"Fixed-epsilon closeness |x-y|<epsilon is transitive",INCONSISTENT_SPECIFICATION,"Replace by graded triangle Close_e x y and Close_d y z -> Close_(e+d) x z",CriticalBarrier.EndpointInterfaces.GradedTolerance,audit/39_sorry_indeterminate_parameter_completion.md,false,"Historical sorry cannot be proved as stated"
META-B2,Meta,"Independence implies certified dual-state semantics",CONDITIONAL,"Supply exact soundness/completeness/model bridge as explicit hypothesis",CriticalBarrier.EndpointInterfaces.IndependenceBridge,audit/39_sorry_indeterminate_parameter_completion.md,false,"Do not hide model-theoretic content behind axiom"
META-B3,Meta,"Generic forcing extension exists with all advertised properties",OPEN_BRIDGE,"Implement verified forcing construction or weaken interface",CriticalBarrier.EndpointInterfaces.ForcingExtension,audit/39_sorry_indeterminate_parameter_completion.md,false,"Placeholder construction cannot be relabeled proof"
PRIORITY-B1,Priority,"No pre-cutoff mathematically equivalent distinctive construction exists worldwide",OPEN_BRIDGE,"Exhaustive external prior-art search sufficient for the intended claim scope",CriticalBarrier.EndpointInterfaces.PriorityScope,audit/35_peer_review_master_protocol.md,false,"Current evidence supports audited-corpus anteriority, not first-in-world"
CAUSAL-B1,Causality,"Later external work accessed or derived from the audited corpus",NOT_ESTABLISHED,"Independent evidence of access/communication/derivation",CriticalBarrier.EndpointInterfaces.CausalAccess,audit/35_peer_review_master_protocol.md,false,"Chronology plus similarity is not causal evidence"
