concept,fagliari_source,fagliari_commit,fagliari_date,external_source,external_commit,external_date,exact_text_match,symbolic_match,structural_match,generic_classical_overlap,rarity_score,evidentiary_weight,caveat
smooth compactly supported data to finite-time blowup branch,Millennium: problems/NavierStokes/local-global-bridge.md,c70b6f72197085ae6ecc3130b75e685028a61d10,2025-12-04T18:43:53Z,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,MEDIUM,MEDIUM,HIGH,Timestamp reported from connected GitHub object; independent line-level export still pending
self-similar or asymptotically self-similar blowup strategy,Millennium: problems/NavierStokes/local-global-bridge.md,c70b6f72197085ae6ecc3130b75e685028a61d10,2025-12-04T18:43:53Z,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,MEDIUM,MEDIUM,HIGH,Structural overlap established at strategy level; not the same technical construction
scaling + concentration-compactness + profile decomposition + Liouville pipeline,Millennium: docs/universal-tree/05-methods.md,c70b6f72197085ae6ecc3130b75e685028a61d10,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,HIGH,MEDIUM,HIGH,File/line extraction required for full evidentiary packet
profile decomposition in critical framework,navier-stokes-noncircular: sections/sec07-profile-decomposition.tex,8f12748eb160b937174825fe3e7bdccf05e8f9af,2026-08-30T11:10:45Z,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,MEDIUM,MEDIUM,HIGH,Represents concrete technical maturation before 2026-09-08
critical element extraction route,navier-stokes-noncircular: sections/sec08-critical-element.tex,8f12748eb160b937174825fe3e7bdccf05e8f9af,2026-08-30T11:10:45Z,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRONG,MEDIUM,MEDIUM,HIGH,Confirms critical-element branch in prior work
reference-jet / primitive-jet style machinery,UNKNOWN,UNKNOWN,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,NO,NOT_FOUND,LOW,UNKNOWN,MEDIUM,No pre-2026-09-08 match located yet in audited prior repositories
smooth forcing cancellation and pressure-tail cancellation machinery,UNKNOWN,UNKNOWN,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,NO,NOT_FOUND,LOW,UNKNOWN,MEDIUM,Distinctive-construction-level match currently not established
field/jet decomposition architecture,openai/NavierStokes modules + Fagliari prior decomposition files,UNKNOWN,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRUCTURAL,MEDIUM,MEDIUM,MEDIUM,Requires def/formula-level mapping not only naming overlap
correction family vs prior remainders/stability architecture,navier-stokes-noncircular + Millennium notes,UNKNOWN,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRUCTURAL,MEDIUM,MEDIUM,MEDIUM,Potentially comparable but non-identical mechanisms
pressure+bounds hierarchy vs prior pressure/coercivity track,prior pressure files and theory/07_pressure.md,UNKNOWN,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRUCTURAL,HIGH,MEDIUM,MEDIUM,Pressure is necessary PDE structure so generic overlap risk is high
residual bounds hierarchy vs prior error/compactness ledger,navier-stokes-noncircular sections + audit files,UNKNOWN,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,PARTIAL,STRUCTURAL,MEDIUM,MEDIUM,MEDIUM,Requires theorem-to-theorem comparison to upgrade classification
all-order drift hierarchy (exact match),UNKNOWN,UNKNOWN,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,NO,NOT_FOUND,LOW,UNKNOWN,MEDIUM,No verified pre-08/09/2026 equivalent object identified yet
angle primitive machinery (exact match),UNKNOWN,UNKNOWN,UNKNOWN,https://github.com/openai/NavierStokesAndEuler,UNKNOWN,2026-09-08,NO,NO,NOT_FOUND,LOW,UNKNOWN,MEDIUM,No verified pre-08/09/2026 equivalent object identified yet
